Simulation Results - 100 runs
================================================================================

Run  100: Team DPAV: 23807.079 | RinTohsaka: 23565.018 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 24772.488
Average RinTohsaka DPAV: 24532.518 Percentage: 99.031%
Average Sparkle DPAV: 0.000 Percentage: 0.000%
Average Sunday DPAV: 0.000 Percentage: 0.000%
Average Lingsha DPAV: 239.969 Percentage: 0.969%

Min Team DPAV: 23110.426
Max Team DPAV: 28837.176
