Simulation Results - 100 runs
================================================================================

Run   63: Team DPAV: 18711.737 | Ashveil: 16793.236 | Sparkle: 0.000 | Tribbie: 1798.248 | HuoHuo: 0.000
Run   64: Team DPAV: 23918.212 | Ashveil: 21684.648 | Sparkle: 0.000 | Tribbie: 2113.312 | HuoHuo: 0.000
Run   65: Team DPAV: 19255.012 | Ashveil: 17345.117 | Sparkle: 0.000 | Tribbie: 1809.293 | HuoHuo: 0.000
Run   66: Team DPAV: 20091.751 | Ashveil: 18110.363 | Sparkle: 0.000 | Tribbie: 1881.223 | HuoHuo: 0.000
Run   67: Team DPAV: 21103.602 | Ashveil: 19055.663 | Sparkle: 0.000 | Tribbie: 1947.773 | HuoHuo: 0.000
Run   68: Team DPAV: 19809.357 | Ashveil: 17839.987 | Sparkle: 0.000 | Tribbie: 1869.205 | HuoHuo: 0.000
Run   69: Team DPAV: 19937.136 | Ashveil: 17965.601 | Sparkle: 0.000 | Tribbie: 1871.370 | HuoHuo: 0.000
Run   70: Team DPAV: 20621.397 | Ashveil: 18550.543 | Sparkle: 0.000 | Tribbie: 1970.689 | HuoHuo: 0.000
Run   71: Team DPAV: 19669.232 | Ashveil: 17702.158 | Sparkle: 0.000 | Tribbie: 1866.473 | HuoHuo: 0.000
Run   72: Team DPAV: 20721.349 | Ashveil: 18675.221 | Sparkle: 0.000 | Tribbie: 1945.963 | HuoHuo: 0.000
Run   73: Team DPAV: 19971.770 | Ashveil: 18085.731 | Sparkle: 0.000 | Tribbie: 1805.525 | HuoHuo: 0.000
Run   74: Team DPAV: 20079.295 | Ashveil: 18112.845 | Sparkle: 0.000 | Tribbie: 1865.848 | HuoHuo: 0.000
Run   75: Team DPAV: 21155.829 | Ashveil: 19070.571 | Sparkle: 0.000 | Tribbie: 1965.443 | HuoHuo: 0.000
Run   76: Team DPAV: 19477.069 | Ashveil: 17503.709 | Sparkle: 0.000 | Tribbie: 1873.195 | HuoHuo: 0.000
Run   77: Team DPAV: 19260.951 | Ashveil: 17345.721 | Sparkle: 0.000 | Tribbie: 1795.414 | HuoHuo: 0.000
Run   78: Team DPAV: 19139.106 | Ashveil: 17311.314 | Sparkle: 0.000 | Tribbie: 1727.190 | HuoHuo: 0.000
Run   79: Team DPAV: 20622.954 | Ashveil: 18707.725 | Sparkle: 0.000 | Tribbie: 1815.063 | HuoHuo: 0.000
Run   80: Team DPAV: 20037.246 | Ashveil: 18070.609 | Sparkle: 0.000 | Tribbie: 1866.473 | HuoHuo: 0.000
Run   81: Team DPAV: 20930.711 | Ashveil: 18802.351 | Sparkle: 0.000 | Tribbie: 2008.545 | HuoHuo: 0.000
Run   82: Team DPAV: 20611.214 | Ashveil: 18491.463 | Sparkle: 0.000 | Tribbie: 2019.149 | HuoHuo: 0.000
Run   83: Team DPAV: 19947.858 | Ashveil: 17987.226 | Sparkle: 0.000 | Tribbie: 1880.117 | HuoHuo: 0.000
Run   84: Team DPAV: 20761.308 | Ashveil: 18759.696 | Sparkle: 0.000 | Tribbie: 1881.360 | HuoHuo: 0.000
Run   85: Team DPAV: 19337.712 | Ashveil: 17372.178 | Sparkle: 0.000 | Tribbie: 1864.932 | HuoHuo: 0.000
Run   86: Team DPAV: 20910.677 | Ashveil: 18975.787 | Sparkle: 0.000 | Tribbie: 1814.638 | HuoHuo: 0.000
Run   87: Team DPAV: 19896.411 | Ashveil: 18006.336 | Sparkle: 0.000 | Tribbie: 1809.124 | HuoHuo: 0.000
Run   88: Team DPAV: 20189.932 | Ashveil: 18125.428 | Sparkle: 0.000 | Tribbie: 1963.902 | HuoHuo: 0.000
Run   89: Team DPAV: 20786.962 | Ashveil: 18722.894 | Sparkle: 0.000 | Tribbie: 1963.902 | HuoHuo: 0.000
Run   90: Team DPAV: 20004.868 | Ashveil: 18066.974 | Sparkle: 0.000 | Tribbie: 1817.642 | HuoHuo: 0.000
Run   91: Team DPAV: 19519.104 | Ashveil: 17544.235 | Sparkle: 0.000 | Tribbie: 1874.267 | HuoHuo: 0.000
Run   92: Team DPAV: 19137.921 | Ashveil: 17239.526 | Sparkle: 0.000 | Tribbie: 1797.793 | HuoHuo: 0.000
Run   93: Team DPAV: 20787.398 | Ashveil: 18722.894 | Sparkle: 0.000 | Tribbie: 1963.902 | HuoHuo: 0.000
Run   94: Team DPAV: 19029.204 | Ashveil: 17127.103 | Sparkle: 0.000 | Tribbie: 1801.499 | HuoHuo: 0.000
Run   95: Team DPAV: 19614.007 | Ashveil: 17706.089 | Sparkle: 0.000 | Tribbie: 1807.753 | HuoHuo: 0.000
Run   96: Team DPAV: 19873.746 | Ashveil: 17964.288 | Sparkle: 0.000 | Tribbie: 1809.293 | HuoHuo: 0.000
Run   97: Team DPAV: 20045.441 | Ashveil: 18082.992 | Sparkle: 0.000 | Tribbie: 1862.283 | HuoHuo: 0.000
Run   98: Team DPAV: 20594.638 | Ashveil: 18678.072 | Sparkle: 0.000 | Tribbie: 1815.965 | HuoHuo: 0.000
Run   99: Team DPAV: 20035.803 | Ashveil: 18193.546 | Sparkle: 0.000 | Tribbie: 1741.656 | HuoHuo: 0.000
Run  100: Team DPAV: 19671.714 | Ashveil: 17748.072 | Sparkle: 0.000 | Tribbie: 1784.176 | HuoHuo: 0.000

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 20133.885
Average Ashveil DPAV: 18164.942
Average Sparkle DPAV: 0.000
Average Tribbie DPAV: 1863.778
Average HuoHuo DPAV: 0.000

Min Team DPAV: 18688.718
Max Team DPAV: 23918.212
