Simulation Results - 100 runs
================================================================================

Run   74: Team DPAV: 22572.232 | RinTohsaka: 19556.531 | Sunday: 0.000 | MortenaxBlade: 2976.638 | HuoHuo: 39.063
Run   75: Team DPAV: 22174.315 | RinTohsaka: 19556.531 | Sunday: 0.000 | MortenaxBlade: 2578.721 | HuoHuo: 39.063
Run   76: Team DPAV: 21053.856 | RinTohsaka: 18571.267 | Sunday: 0.000 | MortenaxBlade: 2443.414 | HuoHuo: 39.176
Run   77: Team DPAV: 23566.482 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 2886.876 | HuoHuo: 39.063
Run   78: Team DPAV: 22825.812 | RinTohsaka: 19796.181 | Sunday: 0.000 | MortenaxBlade: 2990.568 | HuoHuo: 39.063
Run   79: Team DPAV: 22805.037 | RinTohsaka: 20353.188 | Sunday: 0.000 | MortenaxBlade: 2412.786 | HuoHuo: 39.063
Run   80: Team DPAV: 22805.037 | RinTohsaka: 20353.188 | Sunday: 0.000 | MortenaxBlade: 2412.786 | HuoHuo: 39.063
Run   81: Team DPAV: 23574.884 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 2892.207 | HuoHuo: 42.134
Run   82: Team DPAV: 23063.263 | RinTohsaka: 20011.868 | Sunday: 0.000 | MortenaxBlade: 3009.262 | HuoHuo: 42.134
Run   83: Team DPAV: 22982.803 | RinTohsaka: 20058.337 | Sunday: 0.000 | MortenaxBlade: 2882.331 | HuoHuo: 42.134
Run   84: Team DPAV: 22451.201 | RinTohsaka: 19442.318 | Sunday: 0.000 | MortenaxBlade: 2969.820 | HuoHuo: 39.063
Run   85: Team DPAV: 23500.860 | RinTohsaka: 20445.363 | Sunday: 0.000 | MortenaxBlade: 3013.363 | HuoHuo: 42.134
Run   86: Team DPAV: 23566.482 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 2886.876 | HuoHuo: 39.063
Run   87: Team DPAV: 21551.370 | RinTohsaka: 18547.179 | Sunday: 0.000 | MortenaxBlade: 2965.128 | HuoHuo: 39.063
Run   88: Team DPAV: 23692.212 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 3009.535 | HuoHuo: 42.134
Run   89: Team DPAV: 23157.424 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 2474.747 | HuoHuo: 42.134
Run   90: Team DPAV: 21551.370 | RinTohsaka: 18547.179 | Sunday: 0.000 | MortenaxBlade: 2965.128 | HuoHuo: 39.063
Run   91: Team DPAV: 22572.232 | RinTohsaka: 19556.531 | Sunday: 0.000 | MortenaxBlade: 2976.638 | HuoHuo: 39.063
Run   92: Team DPAV: 21988.735 | RinTohsaka: 18918.726 | Sunday: 0.000 | MortenaxBlade: 3024.654 | HuoHuo: 45.355
Run   93: Team DPAV: 21910.049 | RinTohsaka: 18938.425 | Sunday: 0.000 | MortenaxBlade: 2926.269 | HuoHuo: 45.355
Run   94: Team DPAV: 23224.970 | RinTohsaka: 20259.845 | Sunday: 0.000 | MortenaxBlade: 2924.200 | HuoHuo: 40.925
Run   95: Team DPAV: 22107.111 | RinTohsaka: 19492.135 | Sunday: 0.000 | MortenaxBlade: 2575.913 | HuoHuo: 39.063
Run   96: Team DPAV: 22024.766 | RinTohsaka: 18999.183 | Sunday: 0.000 | MortenaxBlade: 2986.520 | HuoHuo: 39.063
Run   97: Team DPAV: 22983.461 | RinTohsaka: 20058.337 | Sunday: 0.000 | MortenaxBlade: 2886.061 | HuoHuo: 39.063
Run   98: Team DPAV: 23689.416 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 3006.738 | HuoHuo: 42.134
Run   99: Team DPAV: 23566.482 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 2886.876 | HuoHuo: 39.063
Run  100: Team DPAV: 22572.232 | RinTohsaka: 19556.531 | Sunday: 0.000 | MortenaxBlade: 2976.638 | HuoHuo: 39.063

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 22748.593
Average RinTohsaka DPAV: 19829.190 Percentage: 87.167%
Average Sunday DPAV: 0.000 Percentage: 0.000%
Average MortenaxBlade DPAV: 2879.158 Percentage: 12.656%
Average HuoHuo DPAV: 40.244 Percentage: 0.177%

Min Team DPAV: 20461.571
Max Team DPAV: 23692.212
