Simulation Results - 100 runs
================================================================================

Run   69: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   70: Team DPAV: 35275.643 | Saber: 16366.854 | Gilgamesh: 14545.545 | MortenaxBlade: 4075.318 | HuoHuo: 42.949
Run   71: Team DPAV: 45588.297 | Saber: 23475.471 | Gilgamesh: 16446.540 | MortenaxBlade: 5358.636 | HuoHuo: 45.511
Run   72: Team DPAV: 40621.722 | Saber: 19337.080 | Gilgamesh: 15797.596 | MortenaxBlade: 5175.496 | HuoHuo: 49.411
Run   73: Team DPAV: 39955.654 | Saber: 19223.704 | Gilgamesh: 15365.182 | MortenaxBlade: 5073.267 | HuoHuo: 48.525
Run   74: Team DPAV: 50450.311 | Saber: 24650.130 | Gilgamesh: 20077.272 | MortenaxBlade: 5394.197 | HuoHuo: 49.411
Run   75: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   76: Team DPAV: 40600.358 | Saber: 19337.080 | Gilgamesh: 15797.596 | MortenaxBlade: 5154.132 | HuoHuo: 49.411
Run   77: Team DPAV: 47806.869 | Saber: 23134.601 | Gilgamesh: 19240.214 | MortenaxBlade: 5121.389 | HuoHuo: 48.525
Run   78: Team DPAV: 49162.955 | Saber: 23871.115 | Gilgamesh: 19601.137 | MortenaxBlade: 5380.039 | HuoHuo: 48.525
Run   79: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   80: Team DPAV: 43773.495 | Saber: 22472.283 | Gilgamesh: 15693.495 | MortenaxBlade: 5302.406 | HuoHuo: 43.173
Run   81: Team DPAV: 39358.477 | Saber: 18689.292 | Gilgamesh: 15345.576 | MortenaxBlade: 5030.108 | HuoHuo: 48.525
Run   82: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   83: Team DPAV: 44982.449 | Saber: 22662.854 | Gilgamesh: 16694.763 | MortenaxBlade: 5319.521 | HuoHuo: 43.173
Run   84: Team DPAV: 45820.014 | Saber: 23433.743 | Gilgamesh: 16722.323 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   85: Team DPAV: 48476.443 | Saber: 22560.019 | Gilgamesh: 20372.485 | MortenaxBlade: 5255.790 | HuoHuo: 43.173
Run   86: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   87: Team DPAV: 44334.847 | Saber: 22435.942 | Gilgamesh: 16219.193 | MortenaxBlade: 5368.162 | HuoHuo: 49.411
Run   88: Team DPAV: 44982.449 | Saber: 22662.854 | Gilgamesh: 16694.763 | MortenaxBlade: 5319.521 | HuoHuo: 43.173
Run   89: Team DPAV: 40600.358 | Saber: 19337.080 | Gilgamesh: 15797.596 | MortenaxBlade: 5154.132 | HuoHuo: 49.411
Run   90: Team DPAV: 42372.752 | Saber: 20120.560 | Gilgamesh: 16669.309 | MortenaxBlade: 5254.170 | HuoHuo: 49.411
Run   91: Team DPAV: 42924.418 | Saber: 20618.379 | Gilgamesh: 16710.056 | MortenaxBlade: 5267.270 | HuoHuo: 49.411
Run   92: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   93: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   94: Team DPAV: 43223.931 | Saber: 19232.170 | Gilgamesh: 18640.597 | MortenaxBlade: 5057.663 | HuoHuo: 48.525
Run   95: Team DPAV: 41504.513 | Saber: 19238.833 | Gilgamesh: 16588.886 | MortenaxBlade: 5348.081 | HuoHuo: 49.411
Run   96: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   97: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   98: Team DPAV: 41248.848 | Saber: 20165.566 | Gilgamesh: 15541.082 | MortenaxBlade: 5251.712 | HuoHuo: 45.511
Run   99: Team DPAV: 45928.540 | Saber: 23230.490 | Gilgamesh: 17097.726 | MortenaxBlade: 5243.524 | HuoHuo: 43.173
Run  100: Team DPAV: 47825.561 | Saber: 21760.831 | Gilgamesh: 20400.782 | MortenaxBlade: 5358.636 | HuoHuo: 43.173

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 44911.160
Average Saber DPAV: 22172.163 Percentage: 49.369%
Average Gilgamesh DPAV: 17162.625 Percentage: 38.215%
Average MortenaxBlade DPAV: 5269.743 Percentage: 11.734%
Average HuoHuo DPAV: 45.348 Percentage: 0.101%

Min Team DPAV: 35275.643
Max Team DPAV: 51929.346
