Simulation Results - 100 runs
================================================================================

Run   82: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   83: Team DPAV: 32705.645 | MortenaxBlade: 32616.246 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   84: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   85: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   86: Team DPAV: 34070.183 | MortenaxBlade: 33979.441 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   87: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   88: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   89: Team DPAV: 31922.336 | MortenaxBlade: 31829.924 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   90: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   91: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   92: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   93: Team DPAV: 33394.648 | MortenaxBlade: 33303.220 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   94: Team DPAV: 36970.787 | MortenaxBlade: 36881.152 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   95: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   96: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   97: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   98: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   99: Team DPAV: 33512.127 | MortenaxBlade: 33420.699 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run  100: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 33446.794
Average MortenaxBlade DPAV: 33355.687
Average Sunday DPAV: 0.000
Average Sparkle DPAV: 0.000
Average HuoHuo DPAV: 0.000

Min Team DPAV: 29759.122
Max Team DPAV: 36970.787
