Simulation Results - 100 runs
================================================================================

Run   94: Team DPAV: 28367.874 | RinTohsaka: 28344.629 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   95: Team DPAV: 28235.410 | RinTohsaka: 28212.108 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302
Run   96: Team DPAV: 27269.277 | RinTohsaka: 27246.250 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.026
Run   97: Team DPAV: 26562.081 | RinTohsaka: 26538.836 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   98: Team DPAV: 26132.355 | RinTohsaka: 26109.110 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   99: Team DPAV: 27452.660 | RinTohsaka: 27429.825 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 22.835
Run  100: Team DPAV: 28416.470 | RinTohsaka: 28393.169 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 26888.140
Average RinTohsaka DPAV: 26864.941 Percentage: 99.914%
Average Sparkle DPAV: 0.000 Percentage: 0.000%
Average Sunday DPAV: 0.000 Percentage: 0.000%
Average HuoHuo DPAV: 23.199 Percentage: 0.086%

Min Team DPAV: 24932.197
Max Team DPAV: 29177.055
