Simulation Results - 100 runs
================================================================================

Run   67: Team DPAV: 19186.764 | Feixiao: 9988.376 | MortenaxBlade: 6897.946 | Robin: 2163.004 | HuoHuo: 64.668
Run   68: Team DPAV: 18063.582 | Feixiao: 9535.880 | MortenaxBlade: 6686.156 | Robin: 1706.476 | HuoHuo: 62.300
Run   69: Team DPAV: 18011.969 | Feixiao: 9563.857 | MortenaxBlade: 6527.510 | Robin: 1788.796 | HuoHuo: 63.154
Run   70: Team DPAV: 19186.764 | Feixiao: 9988.376 | MortenaxBlade: 6897.946 | Robin: 2163.004 | HuoHuo: 64.668
Run   71: Team DPAV: 19213.403 | Feixiao: 9988.376 | MortenaxBlade: 6924.585 | Robin: 2163.004 | HuoHuo: 64.668
Run   72: Team DPAV: 19213.403 | Feixiao: 9988.376 | MortenaxBlade: 6924.585 | Robin: 2163.004 | HuoHuo: 64.668
Run   73: Team DPAV: 18883.794 | Feixiao: 9535.880 | MortenaxBlade: 7449.376 | Robin: 1763.467 | HuoHuo: 62.300
Run   74: Team DPAV: 18883.794 | Feixiao: 9535.880 | MortenaxBlade: 7449.376 | Robin: 1763.467 | HuoHuo: 62.300
Run   75: Team DPAV: 18857.154 | Feixiao: 9535.880 | MortenaxBlade: 7422.737 | Robin: 1763.467 | HuoHuo: 62.300
Run   76: Team DPAV: 18036.943 | Feixiao: 9535.880 | MortenaxBlade: 6659.517 | Robin: 1706.476 | HuoHuo: 62.300
Run   77: Team DPAV: 18883.794 | Feixiao: 9535.880 | MortenaxBlade: 7449.376 | Robin: 1763.467 | HuoHuo: 62.300
Run   78: Team DPAV: 18011.969 | Feixiao: 9563.857 | MortenaxBlade: 6527.510 | Robin: 1788.796 | HuoHuo: 63.154
Run   79: Team DPAV: 19213.403 | Feixiao: 9988.376 | MortenaxBlade: 6924.585 | Robin: 2163.004 | HuoHuo: 64.668
Run   80: Team DPAV: 18011.969 | Feixiao: 9563.857 | MortenaxBlade: 6527.510 | Robin: 1788.796 | HuoHuo: 63.154
Run   81: Team DPAV: 18049.591 | Feixiao: 9535.880 | MortenaxBlade: 6672.165 | Robin: 1706.476 | HuoHuo: 62.300
Run   82: Team DPAV: 18011.969 | Feixiao: 9563.857 | MortenaxBlade: 6527.510 | Robin: 1788.796 | HuoHuo: 63.154
Run   83: Team DPAV: 19213.403 | Feixiao: 9988.376 | MortenaxBlade: 6924.585 | Robin: 2163.004 | HuoHuo: 64.668
Run   84: Team DPAV: 18032.230 | Feixiao: 9563.857 | MortenaxBlade: 6547.772 | Robin: 1788.796 | HuoHuo: 63.154
Run   85: Team DPAV: 18011.969 | Feixiao: 9563.857 | MortenaxBlade: 6527.510 | Robin: 1788.796 | HuoHuo: 63.154
Run   86: Team DPAV: 19213.403 | Feixiao: 9988.376 | MortenaxBlade: 6924.585 | Robin: 2163.004 | HuoHuo: 64.668
Run   87: Team DPAV: 19213.403 | Feixiao: 9988.376 | MortenaxBlade: 6924.585 | Robin: 2163.004 | HuoHuo: 64.668
Run   88: Team DPAV: 19213.403 | Feixiao: 9988.376 | MortenaxBlade: 6924.585 | Robin: 2163.004 | HuoHuo: 64.668
Run   89: Team DPAV: 18820.824 | Feixiao: 9602.796 | MortenaxBlade: 6942.666 | Robin: 2127.542 | HuoHuo: 75.050
Run   90: Team DPAV: 18011.969 | Feixiao: 9563.857 | MortenaxBlade: 6527.510 | Robin: 1788.796 | HuoHuo: 63.154
Run   91: Team DPAV: 18011.969 | Feixiao: 9563.857 | MortenaxBlade: 6527.510 | Robin: 1788.796 | HuoHuo: 63.154
Run   92: Team DPAV: 19213.403 | Feixiao: 9988.376 | MortenaxBlade: 6924.585 | Robin: 2163.004 | HuoHuo: 64.668
Run   93: Team DPAV: 18883.794 | Feixiao: 9535.880 | MortenaxBlade: 7449.376 | Robin: 1763.467 | HuoHuo: 62.300
Run   94: Team DPAV: 19213.403 | Feixiao: 9988.376 | MortenaxBlade: 6924.585 | Robin: 2163.004 | HuoHuo: 64.668
Run   95: Team DPAV: 18011.969 | Feixiao: 9563.857 | MortenaxBlade: 6527.510 | Robin: 1788.796 | HuoHuo: 63.154
Run   96: Team DPAV: 17962.797 | Feixiao: 9075.313 | MortenaxBlade: 6878.928 | Robin: 1871.117 | HuoHuo: 64.668
