Simulation Results - 100 runs
================================================================================

Run   80: Team DPAV: 25416.026 | Acheron: 20701.541 | MortenaxBlade: 3239.553 | Jiaoqiu: 792.669 | HuoHuo: 21.072
Run   81: Team DPAV: 25066.280 | Acheron: 20435.867 | MortenaxBlade: 3306.668 | Jiaoqiu: 588.065 | HuoHuo: 21.072
Run   82: Team DPAV: 25847.304 | Acheron: 20937.359 | MortenaxBlade: 3491.779 | Jiaoqiu: 771.406 | HuoHuo: 17.970
Run   83: Team DPAV: 25510.516 | Acheron: 20827.294 | MortenaxBlade: 3308.632 | Jiaoqiu: 674.145 | HuoHuo: 18.796
Run   84: Team DPAV: 25553.745 | Acheron: 20805.834 | MortenaxBlade: 3312.998 | Jiaoqiu: 758.194 | HuoHuo: 17.970
Run   85: Team DPAV: 25496.506 | Acheron: 20843.340 | MortenaxBlade: 3292.471 | Jiaoqiu: 691.492 | HuoHuo: 17.970
Run   86: Team DPAV: 25805.551 | Acheron: 20940.823 | MortenaxBlade: 3484.119 | Jiaoqiu: 692.405 | HuoHuo: 17.970
Run   87: Team DPAV: 22974.522 | Acheron: 18329.905 | MortenaxBlade: 3320.567 | Jiaoqiu: 625.991 | HuoHuo: 17.970
Run   88: Team DPAV: 25715.408 | Acheron: 20914.253 | MortenaxBlade: 3399.197 | Jiaoqiu: 732.755 | HuoHuo: 17.970
Run   89: Team DPAV: 25341.729 | Acheron: 20345.936 | MortenaxBlade: 3512.015 | Jiaoqiu: 794.034 | HuoHuo: 17.970
Run   90: Team DPAV: 26429.873 | Acheron: 21152.374 | MortenaxBlade: 3915.319 | Jiaoqiu: 673.976 | HuoHuo: 17.970
Run   91: Team DPAV: 25568.936 | Acheron: 20950.193 | MortenaxBlade: 3212.507 | Jiaoqiu: 735.246 | HuoHuo: 17.970
Run   92: Team DPAV: 25730.377 | Acheron: 20830.333 | MortenaxBlade: 3489.058 | Jiaoqiu: 735.205 | HuoHuo: 17.970
Run   93: Team DPAV: 22592.826 | Acheron: 18144.821 | MortenaxBlade: 3145.666 | Jiaoqiu: 614.255 | HuoHuo: 17.970
Run   94: Team DPAV: 25610.443 | Acheron: 20891.560 | MortenaxBlade: 3421.946 | Jiaoqiu: 602.631 | HuoHuo: 18.796
Run   95: Team DPAV: 25426.299 | Acheron: 20815.907 | MortenaxBlade: 3392.503 | Jiaoqiu: 539.474 | HuoHuo: 17.970
Run   96: Team DPAV: 22920.335 | Acheron: 18187.802 | MortenaxBlade: 3404.697 | Jiaoqiu: 631.835 | HuoHuo: 17.970
Run   97: Team DPAV: 25831.028 | Acheron: 21097.044 | MortenaxBlade: 3335.827 | Jiaoqiu: 723.600 | HuoHuo: 17.970
Run   98: Team DPAV: 25664.053 | Acheron: 20990.094 | MortenaxBlade: 3393.533 | Jiaoqiu: 609.524 | HuoHuo: 17.970
Run   99: Team DPAV: 22887.906 | Acheron: 18255.130 | MortenaxBlade: 3311.881 | Jiaoqiu: 624.497 | HuoHuo: 17.970
Run  100: Team DPAV: 25745.450 | Acheron: 21010.141 | MortenaxBlade: 3333.185 | Jiaoqiu: 704.594 | HuoHuo: 17.970

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 25251.213
Average Acheron DPAV: 20442.804
Average MortenaxBlade DPAV: 3446.807
Average Jiaoqiu DPAV: 678.294
Average HuoHuo DPAV: 18.347

Min Team DPAV: 21549.143
Max Team DPAV: 26843.301
