Simulation Results - 100 runs
================================================================================

Run   85: Team DPAV: 31521.917 | Evanescia: 28826.699 | ElationMC: 2168.397 | Sunday: 0.000 | HuoHuo: 5.713
Run   86: Team DPAV: 31392.709 | Evanescia: 28641.311 | ElationMC: 2224.260 | Sunday: 0.000 | HuoHuo: 6.031
Run   87: Team DPAV: 32074.622 | Evanescia: 29331.958 | ElationMC: 2163.203 | Sunday: 0.000 | HuoHuo: 5.713
Run   88: Team DPAV: 32190.517 | Evanescia: 29456.556 | ElationMC: 2180.819 | Sunday: 0.000 | HuoHuo: 5.713
Run   89: Team DPAV: 30056.315 | Evanescia: 27342.935 | ElationMC: 2186.241 | Sunday: 0.000 | HuoHuo: 6.031
Run   90: Team DPAV: 31083.306 | Evanescia: 28340.642 | ElationMC: 2163.203 | Sunday: 0.000 | HuoHuo: 5.713
Run   91: Team DPAV: 32399.568 | Evanescia: 29620.102 | ElationMC: 2200.005 | Sunday: 0.000 | HuoHuo: 5.713
Run   92: Team DPAV: 31288.779 | Evanescia: 28593.562 | ElationMC: 2168.397 | Sunday: 0.000 | HuoHuo: 5.713
Run   93: Team DPAV: 31856.587 | Evanescia: 29114.140 | ElationMC: 2162.986 | Sunday: 0.000 | HuoHuo: 5.713
Run   94: Team DPAV: 31404.908 | Evanescia: 28662.244 | ElationMC: 2163.203 | Sunday: 0.000 | HuoHuo: 5.713
Run   95: Team DPAV: 32551.441 | Evanescia: 29795.691 | ElationMC: 2175.972 | Sunday: 0.000 | HuoHuo: 6.031
Run   96: Team DPAV: 30124.851 | Evanescia: 27363.026 | ElationMC: 2182.046 | Sunday: 0.000 | HuoHuo: 6.031
Run   97: Team DPAV: 31893.251 | Evanescia: 29128.827 | ElationMC: 2184.646 | Sunday: 0.000 | HuoHuo: 6.031
Run   98: Team DPAV: 30812.338 | Evanescia: 28095.912 | ElationMC: 2189.288 | Sunday: 0.000 | HuoHuo: 6.031
Run   99: Team DPAV: 30148.095 | Evanescia: 27433.716 | ElationMC: 2187.240 | Sunday: 0.000 | HuoHuo: 6.031
Run  100: Team DPAV: 31675.780 | Evanescia: 28961.401 | ElationMC: 2187.240 | Sunday: 0.000 | HuoHuo: 6.031

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 31150.098
Average Evanescia DPAV: 28409.255
Average ElationMC DPAV: 2184.780
Average Sunday DPAV: 0.000
Average HuoHuo DPAV: 5.872

Min Team DPAV: 29063.348
Max Team DPAV: 33245.788
