Simulation Results - 100 runs
================================================================================

Run   62: Team DPAV: 23236.083 | Acheron: 20002.736 | MortenaxBlade: 2920.078 | Sparkle: 0.000 | HuoHuo: 17.658
Run   63: Team DPAV: 23161.495 | Acheron: 20062.855 | MortenaxBlade: 2804.253 | Sparkle: 0.000 | HuoHuo: 17.658
Run   64: Team DPAV: 23793.173 | Acheron: 20677.492 | MortenaxBlade: 2821.293 | Sparkle: 0.000 | HuoHuo: 17.658
Run   65: Team DPAV: 23211.917 | Acheron: 20115.671 | MortenaxBlade: 2801.858 | Sparkle: 0.000 | HuoHuo: 17.658
Run   66: Team DPAV: 23611.334 | Acheron: 20427.145 | MortenaxBlade: 2891.788 | Sparkle: 0.000 | HuoHuo: 17.658
Run   67: Team DPAV: 23234.314 | Acheron: 20144.292 | MortenaxBlade: 2795.634 | Sparkle: 0.000 | HuoHuo: 17.658
Run   68: Team DPAV: 23429.253 | Acheron: 20334.441 | MortenaxBlade: 2800.424 | Sparkle: 0.000 | HuoHuo: 17.658
Run   69: Team DPAV: 23331.783 | Acheron: 20239.366 | MortenaxBlade: 2798.029 | Sparkle: 0.000 | HuoHuo: 17.658
Run   70: Team DPAV: 23695.704 | Acheron: 20582.417 | MortenaxBlade: 2818.898 | Sparkle: 0.000 | HuoHuo: 17.658
Run   71: Team DPAV: 23274.755 | Acheron: 20170.793 | MortenaxBlade: 2809.575 | Sparkle: 0.000 | HuoHuo: 17.658
Run   72: Team DPAV: 23673.307 | Acheron: 20553.797 | MortenaxBlade: 2825.122 | Sparkle: 0.000 | HuoHuo: 17.658
Run   73: Team DPAV: 23799.574 | Acheron: 20610.731 | MortenaxBlade: 2894.455 | Sparkle: 0.000 | HuoHuo: 17.658
Run   74: Team DPAV: 22449.322 | Acheron: 19215.297 | MortenaxBlade: 2919.761 | Sparkle: 0.000 | HuoHuo: 17.658
Run   75: Team DPAV: 23566.811 | Acheron: 20476.789 | MortenaxBlade: 2795.634 | Sparkle: 0.000 | HuoHuo: 17.658
Run   76: Team DPAV: 22437.325 | Acheron: 19417.030 | MortenaxBlade: 2706.032 | Sparkle: 0.000 | HuoHuo: 17.658
Run   77: Team DPAV: 23544.895 | Acheron: 20428.942 | MortenaxBlade: 2821.566 | Sparkle: 0.000 | HuoHuo: 17.658
Run   78: Team DPAV: 23567.353 | Acheron: 20360.504 | MortenaxBlade: 2886.470 | Sparkle: 0.000 | HuoHuo: 17.658
Run   79: Team DPAV: 23342.876 | Acheron: 20097.811 | MortenaxBlade: 2931.796 | Sparkle: 0.000 | HuoHuo: 17.658
Run   80: Team DPAV: 23350.333 | Acheron: 20100.184 | MortenaxBlade: 2931.796 | Sparkle: 0.000 | HuoHuo: 17.658
Run   81: Team DPAV: 23342.876 | Acheron: 20097.811 | MortenaxBlade: 2931.796 | Sparkle: 0.000 | HuoHuo: 17.658
Run   82: Team DPAV: 23737.846 | Acheron: 20619.090 | MortenaxBlade: 2826.355 | Sparkle: 0.000 | HuoHuo: 17.658
Run   83: Team DPAV: 23303.058 | Acheron: 20153.046 | MortenaxBlade: 2851.535 | Sparkle: 0.000 | HuoHuo: 17.658
Run   84: Team DPAV: 23514.014 | Acheron: 20338.175 | MortenaxBlade: 2857.486 | Sparkle: 0.000 | HuoHuo: 17.658
Run   85: Team DPAV: 23320.479 | Acheron: 20069.190 | MortenaxBlade: 2938.020 | Sparkle: 0.000 | HuoHuo: 17.658
Run   86: Team DPAV: 23383.135 | Acheron: 20297.768 | MortenaxBlade: 2792.967 | Sparkle: 0.000 | HuoHuo: 17.658
Run   87: Team DPAV: 23642.126 | Acheron: 20443.339 | MortenaxBlade: 2898.284 | Sparkle: 0.000 | HuoHuo: 17.658
Run   88: Team DPAV: 23252.500 | Acheron: 20157.156 | MortenaxBlade: 2800.956 | Sparkle: 0.000 | HuoHuo: 17.658
Run   89: Team DPAV: 23367.672 | Acheron: 20219.228 | MortenaxBlade: 2854.056 | Sparkle: 0.000 | HuoHuo: 17.658
Run   90: Team DPAV: 23342.876 | Acheron: 20097.811 | MortenaxBlade: 2931.796 | Sparkle: 0.000 | HuoHuo: 17.658
Run   91: Team DPAV: 23799.574 | Acheron: 20610.731 | MortenaxBlade: 2894.455 | Sparkle: 0.000 | HuoHuo: 17.658
Run   92: Team DPAV: 23234.314 | Acheron: 20144.292 | MortenaxBlade: 2795.634 | Sparkle: 0.000 | HuoHuo: 17.658
Run   93: Team DPAV: 23426.373 | Acheron: 20275.109 | MortenaxBlade: 2850.760 | Sparkle: 0.000 | HuoHuo: 17.658
Run   94: Team DPAV: 23331.783 | Acheron: 20239.366 | MortenaxBlade: 2798.029 | Sparkle: 0.000 | HuoHuo: 17.658
Run   95: Team DPAV: 23320.479 | Acheron: 20069.190 | MortenaxBlade: 2938.020 | Sparkle: 0.000 | HuoHuo: 17.658
Run   96: Team DPAV: 23544.895 | Acheron: 20428.942 | MortenaxBlade: 2821.566 | Sparkle: 0.000 | HuoHuo: 17.658
Run   97: Team DPAV: 23695.704 | Acheron: 20582.417 | MortenaxBlade: 2818.898 | Sparkle: 0.000 | HuoHuo: 17.658
Run   98: Team DPAV: 23307.219 | Acheron: 20187.710 | MortenaxBlade: 2825.122 | Sparkle: 0.000 | HuoHuo: 17.658
Run   99: Team DPAV: 23566.811 | Acheron: 20476.789 | MortenaxBlade: 2795.634 | Sparkle: 0.000 | HuoHuo: 17.658
