Simulation Results - 100 runs
================================================================================

Run   59: Team DPAV: 28987.161 | Ashveil: 19861.159 | MortenaxBlade: 7808.465 | RuanMei: 1098.266 | HuoHuo: 56.432
Run   60: Team DPAV: 26374.336 | Ashveil: 17146.355 | MortenaxBlade: 7954.257 | RuanMei: 1038.781 | HuoHuo: 62.096
Run   61: Team DPAV: 27662.356 | Ashveil: 18870.366 | MortenaxBlade: 7619.937 | RuanMei: 948.262 | HuoHuo: 55.010
Run   62: Team DPAV: 28771.013 | Ashveil: 19796.271 | MortenaxBlade: 7755.859 | RuanMei: 967.067 | HuoHuo: 59.264
Run   63: Team DPAV: 26754.046 | Ashveil: 17275.299 | MortenaxBlade: 8250.687 | RuanMei: 1003.989 | HuoHuo: 57.167
Run   64: Team DPAV: 28728.806 | Ashveil: 19120.033 | MortenaxBlade: 8387.586 | RuanMei: 1018.791 | HuoHuo: 59.264
Run   65: Team DPAV: 30813.720 | Ashveil: 20638.714 | MortenaxBlade: 8862.483 | RuanMei: 1142.673 | HuoHuo: 56.432
Run   66: Team DPAV: 29150.764 | Ashveil: 19010.441 | MortenaxBlade: 8817.561 | RuanMei: 1133.395 | HuoHuo: 52.178
Run   67: Team DPAV: 28876.753 | Ashveil: 19991.249 | MortenaxBlade: 7534.954 | RuanMei: 1119.673 | HuoHuo: 62.096
Run   68: Team DPAV: 28540.726 | Ashveil: 19555.737 | MortenaxBlade: 7783.210 | RuanMei: 972.779 | HuoHuo: 62.096
Run   69: Team DPAV: 29058.561 | Ashveil: 19766.263 | MortenaxBlade: 8111.074 | RuanMei: 978.828 | HuoHuo: 59.264
Run   70: Team DPAV: 25628.663 | Ashveil: 17196.016 | MortenaxBlade: 7353.054 | RuanMei: 853.644 | HuoHuo: 57.167
Run   71: Team DPAV: 27575.042 | Ashveil: 18719.727 | MortenaxBlade: 7485.468 | RuanMei: 1134.904 | HuoHuo: 62.096
Run   72: Team DPAV: 26301.880 | Ashveil: 17160.563 | MortenaxBlade: 7916.503 | RuanMei: 985.071 | HuoHuo: 55.010
Run   73: Team DPAV: 29004.004 | Ashveil: 19896.291 | MortenaxBlade: 7815.154 | RuanMei: 1090.163 | HuoHuo: 59.264
Run   74: Team DPAV: 27004.803 | Ashveil: 17526.055 | MortenaxBlade: 8250.687 | RuanMei: 1003.989 | HuoHuo: 57.167
Run   75: Team DPAV: 26195.592 | Ashveil: 17390.521 | MortenaxBlade: 7719.069 | RuanMei: 862.211 | HuoHuo: 55.010
Run   76: Team DPAV: 28088.630 | Ashveil: 19198.356 | MortenaxBlade: 7682.528 | RuanMei: 975.635 | HuoHuo: 59.264
Run   77: Team DPAV: 29058.561 | Ashveil: 19766.263 | MortenaxBlade: 8111.074 | RuanMei: 978.828 | HuoHuo: 59.264
