Simulation Results - 100 runs
================================================================================

Run   98: Team DPAV: 23654.495 | RinTohsaka: 21989.107 | Sparkle: 0.000 | Tribbie: 1633.453 | HuoHuo: 31.935
Run   99: Team DPAV: 20962.660 | RinTohsaka: 19262.686 | Sparkle: 0.000 | Tribbie: 1668.876 | HuoHuo: 31.097
Run  100: Team DPAV: 23668.088 | RinTohsaka: 21953.672 | Sparkle: 0.000 | Tribbie: 1681.053 | HuoHuo: 33.363

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 23056.385
Average RinTohsaka DPAV: 21341.878 Percentage: 92.564%
Average Sparkle DPAV: 0.000 Percentage: 0.000%
Average Tribbie DPAV: 1682.482 Percentage: 7.297%
Average HuoHuo DPAV: 32.025 Percentage: 0.139%

Min Team DPAV: 20737.276
Max Team DPAV: 25148.026
