Simulation Results - 100 runs
================================================================================

Run   60: Team DPAV: 56702.989 | Gilgamesh: 31169.408 | Ashveil: 11979.268 | MortenaxBlade: 12801.378 | HuoHuo: 0.000
Run   61: Team DPAV: 59141.337 | Gilgamesh: 32138.214 | Ashveil: 12225.078 | MortenaxBlade: 14030.407 | HuoHuo: 0.000
Run   62: Team DPAV: 53261.825 | Gilgamesh: 31142.460 | Ashveil: 10190.848 | MortenaxBlade: 11170.284 | HuoHuo: 0.000
Run   63: Team DPAV: 59065.120 | Gilgamesh: 32545.823 | Ashveil: 12527.288 | MortenaxBlade: 13239.073 | HuoHuo: 0.000
Run   64: Team DPAV: 53261.825 | Gilgamesh: 31142.460 | Ashveil: 10190.848 | MortenaxBlade: 11170.284 | HuoHuo: 0.000
Run   65: Team DPAV: 57869.395 | Gilgamesh: 32463.690 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   66: Team DPAV: 57869.395 | Gilgamesh: 32463.690 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   67: Team DPAV: 57209.678 | Gilgamesh: 32138.214 | Ashveil: 11900.167 | MortenaxBlade: 12423.659 | HuoHuo: 0.000
Run   68: Team DPAV: 58824.675 | Gilgamesh: 32524.917 | Ashveil: 12339.545 | MortenaxBlade: 13201.980 | HuoHuo: 0.000
Run   69: Team DPAV: 58791.478 | Gilgamesh: 32524.917 | Ashveil: 12339.545 | MortenaxBlade: 13168.783 | HuoHuo: 0.000
Run   70: Team DPAV: 53261.825 | Gilgamesh: 31142.460 | Ashveil: 10190.848 | MortenaxBlade: 11170.284 | HuoHuo: 0.000
Run   71: Team DPAV: 57869.395 | Gilgamesh: 32463.690 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   72: Team DPAV: 65977.326 | Gilgamesh: 40571.622 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   73: Team DPAV: 57209.678 | Gilgamesh: 32138.214 | Ashveil: 11900.167 | MortenaxBlade: 12423.659 | HuoHuo: 0.000
Run   74: Team DPAV: 57869.395 | Gilgamesh: 32463.690 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   75: Team DPAV: 58400.137 | Gilgamesh: 33332.617 | Ashveil: 11821.184 | MortenaxBlade: 12456.856 | HuoHuo: 0.000
Run   76: Team DPAV: 58824.675 | Gilgamesh: 32524.917 | Ashveil: 12339.545 | MortenaxBlade: 13201.980 | HuoHuo: 0.000
Run   77: Team DPAV: 53261.825 | Gilgamesh: 31142.460 | Ashveil: 10190.848 | MortenaxBlade: 11170.284 | HuoHuo: 0.000
Run   78: Team DPAV: 53261.825 | Gilgamesh: 31142.460 | Ashveil: 10190.848 | MortenaxBlade: 11170.284 | HuoHuo: 0.000
Run   79: Team DPAV: 53261.825 | Gilgamesh: 31142.460 | Ashveil: 10190.848 | MortenaxBlade: 11170.284 | HuoHuo: 0.000
