Simulation Results - 100 runs
================================================================================

Run   64: Team DPAV: 35627.710 | Ashveil: 29855.675 | MortenaxBlade: 5593.090 | Sunday: 0.000 | HuoHuo: 22.546
Run   65: Team DPAV: 35669.559 | Ashveil: 29891.449 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
Run   66: Team DPAV: 36002.938 | Ashveil: 30233.979 | MortenaxBlade: 5610.174 | Sunday: 0.000 | HuoHuo: 22.546
Run   67: Team DPAV: 35180.234 | Ashveil: 29402.124 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
Run   68: Team DPAV: 35003.256 | Ashveil: 29231.221 | MortenaxBlade: 5593.090 | Sunday: 0.000 | HuoHuo: 22.546
Run   69: Team DPAV: 35981.780 | Ashveil: 30212.821 | MortenaxBlade: 5610.174 | Sunday: 0.000 | HuoHuo: 22.546
Run   70: Team DPAV: 33863.841 | Ashveil: 28513.976 | MortenaxBlade: 5191.081 | Sunday: 0.000 | HuoHuo: 22.546
Run   71: Team DPAV: 35669.559 | Ashveil: 29891.449 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
Run   72: Team DPAV: 35462.882 | Ashveil: 29684.772 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
Run   73: Team DPAV: 36002.938 | Ashveil: 30233.979 | MortenaxBlade: 5610.174 | Sunday: 0.000 | HuoHuo: 22.546
Run   74: Team DPAV: 34558.672 | Ashveil: 29013.085 | MortenaxBlade: 5406.962 | Sunday: 0.000 | HuoHuo: 22.546
Run   75: Team DPAV: 34650.785 | Ashveil: 29109.147 | MortenaxBlade: 5382.853 | Sunday: 0.000 | HuoHuo: 22.546
Run   76: Team DPAV: 35510.037 | Ashveil: 29737.879 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
Run   77: Team DPAV: 35690.627 | Ashveil: 29921.668 | MortenaxBlade: 5610.174 | Sunday: 0.000 | HuoHuo: 22.546
Run   78: Team DPAV: 36396.814 | Ashveil: 30624.656 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
Run   79: Team DPAV: 36003.350 | Ashveil: 30219.164 | MortenaxBlade: 5605.240 | Sunday: 0.000 | HuoHuo: 22.546
Run   80: Team DPAV: 35421.900 | Ashveil: 29649.742 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
Run   81: Team DPAV: 35886.771 | Ashveil: 30099.901 | MortenaxBlade: 5628.085 | Sunday: 0.000 | HuoHuo: 22.546
Run   82: Team DPAV: 35462.882 | Ashveil: 29684.772 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
Run   83: Team DPAV: 35904.731 | Ashveil: 30126.498 | MortenaxBlade: 5599.288 | Sunday: 0.000 | HuoHuo: 22.546
Run   84: Team DPAV: 33734.567 | Ashveil: 28773.857 | MortenaxBlade: 4801.925 | Sunday: 0.000 | HuoHuo: 22.546
Run   85: Team DPAV: 35420.471 | Ashveil: 29898.870 | MortenaxBlade: 5382.976 | Sunday: 0.000 | HuoHuo: 22.546
Run   86: Team DPAV: 35358.312 | Ashveil: 29580.202 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
