Simulation Results - 100 runs
================================================================================

Run   92: Team DPAV: 17538.488 | Gilgamesh: 10920.818 | Ashveil: 5729.902 | Robin: 294.239 | Lingsha: 230.436
Run   93: Team DPAV: 18271.362 | Gilgamesh: 11224.424 | Ashveil: 5909.091 | Robin: 549.633 | Lingsha: 225.120
Run   94: Team DPAV: 18625.149 | Gilgamesh: 11196.885 | Ashveil: 6267.992 | Robin: 571.383 | Lingsha: 225.795
Run   95: Team DPAV: 18271.362 | Gilgamesh: 11224.424 | Ashveil: 5909.091 | Robin: 549.633 | Lingsha: 225.120
Run   96: Team DPAV: 17845.335 | Gilgamesh: 11109.715 | Ashveil: 5801.265 | Robin: 329.040 | Lingsha: 229.896
Run   97: Team DPAV: 18331.217 | Gilgamesh: 11252.894 | Ashveil: 5955.222 | Robin: 532.232 | Lingsha: 225.685
Run   98: Team DPAV: 17640.069 | Gilgamesh: 11044.650 | Ashveil: 5685.900 | Robin: 315.989 | Lingsha: 230.436
Run   99: Team DPAV: 18535.964 | Gilgamesh: 11252.894 | Ashveil: 6140.393 | Robin: 551.808 | Lingsha: 225.685
Run  100: Team DPAV: 18271.362 | Gilgamesh: 11224.424 | Ashveil: 5909.091 | Robin: 549.633 | Lingsha: 225.120

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 18174.389
Average Gilgamesh DPAV: 11213.267 Percentage: 61.698%
Average Ashveil DPAV: 5916.326 Percentage: 32.553%
Average Robin DPAV: 447.876 Percentage: 2.464%
Average Lingsha DPAV: 233.851 Percentage: 1.287%

Min Team DPAV: 16177.664
Max Team DPAV: 21044.559
