Simulation Results - 100 runs
================================================================================

Run   87: Team DPAV: 45853.136 | SilverWolf999: 33269.980 | ElationMC: 3266.138 | Sparxie: 9309.571 | HuoHuo: 5.345
Run   88: Team DPAV: 46832.760 | SilverWolf999: 34865.102 | ElationMC: 3310.292 | Sparxie: 8650.066 | HuoHuo: 5.197
Run   89: Team DPAV: 46835.118 | SilverWolf999: 34883.690 | ElationMC: 3352.059 | Sparxie: 8591.921 | HuoHuo: 5.345
Run   90: Team DPAV: 45175.012 | SilverWolf999: 33674.199 | ElationMC: 3202.324 | Sparxie: 8291.042 | HuoHuo: 5.345
Run   91: Team DPAV: 45298.521 | SilverWolf999: 33094.837 | ElationMC: 3225.464 | Sparxie: 8970.773 | HuoHuo: 5.345
Run   92: Team DPAV: 47650.813 | SilverWolf999: 35425.729 | ElationMC: 3293.819 | Sparxie: 8923.901 | HuoHuo: 5.260
Run   93: Team DPAV: 47421.501 | SilverWolf999: 35386.340 | ElationMC: 3278.012 | Sparxie: 8749.257 | HuoHuo: 5.790
Run   94: Team DPAV: 43108.915 | SilverWolf999: 31468.918 | ElationMC: 3111.918 | Sparxie: 8520.779 | HuoHuo: 5.197
Run   95: Team DPAV: 43853.460 | SilverWolf999: 32065.762 | ElationMC: 3309.814 | Sparxie: 8470.436 | HuoHuo: 5.345
Run   96: Team DPAV: 49662.217 | SilverWolf999: 37107.159 | ElationMC: 3419.288 | Sparxie: 9127.877 | HuoHuo: 5.790
Run   97: Team DPAV: 49110.470 | SilverWolf999: 36539.099 | ElationMC: 3297.793 | Sparxie: 9265.686 | HuoHuo: 5.790
Run   98: Team DPAV: 45547.817 | SilverWolf999: 33496.673 | ElationMC: 3163.330 | Sparxie: 8880.366 | HuoHuo: 5.345
Run   99: Team DPAV: 44155.755 | SilverWolf999: 32104.350 | ElationMC: 3175.857 | Sparxie: 8868.100 | HuoHuo: 5.345
Run  100: Team DPAV: 41586.422 | SilverWolf999: 30302.252 | ElationMC: 3129.846 | Sparxie: 8146.877 | HuoHuo: 5.345

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 45949.687
Average SilverWolf999 DPAV: 33882.027
Average ElationMC DPAV: 3253.966
Average Sparxie DPAV: 8806.126
Average HuoHuo DPAV: 5.465

Min Team DPAV: 40757.019
Max Team DPAV: 51840.263
