Simulation Results - 100 runs
================================================================================

Run   69: Team DPAV: 19819.623 | Feixiao: 9207.972 | MortenaxBlade: 7698.161 | Tribbie: 2682.891 | HuoHuo: 128.446
Run   70: Team DPAV: 20702.090 | Feixiao: 9776.333 | MortenaxBlade: 7979.184 | Tribbie: 2773.968 | HuoHuo: 70.453
Run   71: Team DPAV: 18442.741 | Feixiao: 8618.873 | MortenaxBlade: 7056.255 | Tribbie: 2596.234 | HuoHuo: 69.225
Run   72: Team DPAV: 20491.039 | Feixiao: 9518.449 | MortenaxBlade: 7998.885 | Tribbie: 2776.769 | HuoHuo: 69.244
Run   73: Team DPAV: 20556.225 | Feixiao: 9612.338 | MortenaxBlade: 7979.184 | Tribbie: 2792.097 | HuoHuo: 70.453
Run   74: Team DPAV: 20580.915 | Feixiao: 9614.221 | MortenaxBlade: 7998.885 | Tribbie: 2770.874 | HuoHuo: 69.244
Run   75: Team DPAV: 20661.338 | Feixiao: 9751.267 | MortenaxBlade: 7929.809 | Tribbie: 2807.657 | HuoHuo: 70.453
Run   76: Team DPAV: 20268.077 | Feixiao: 9427.167 | MortenaxBlade: 7909.806 | Tribbie: 2758.499 | HuoHuo: 70.453
Run   77: Team DPAV: 20487.793 | Feixiao: 9518.449 | MortenaxBlade: 7998.885 | Tribbie: 2773.524 | HuoHuo: 69.244
Run   78: Team DPAV: 20556.225 | Feixiao: 9612.338 | MortenaxBlade: 7979.184 | Tribbie: 2792.097 | HuoHuo: 70.453
Run   79: Team DPAV: 20232.151 | Feixiao: 9449.404 | MortenaxBlade: 7862.124 | Tribbie: 2722.461 | HuoHuo: 70.471
Run   80: Team DPAV: 20145.411 | Feixiao: 9365.335 | MortenaxBlade: 7862.124 | Tribbie: 2721.036 | HuoHuo: 69.225
Run   81: Team DPAV: 20476.862 | Feixiao: 9541.071 | MortenaxBlade: 7979.184 | Tribbie: 2784.001 | HuoHuo: 70.453
Run   82: Team DPAV: 20460.655 | Feixiao: 9495.230 | MortenaxBlade: 8033.526 | Tribbie: 2758.029 | HuoHuo: 71.717
Run   83: Team DPAV: 20932.848 | Feixiao: 9762.971 | MortenaxBlade: 8199.969 | Tribbie: 2798.529 | HuoHuo: 69.225
Run   84: Team DPAV: 20491.039 | Feixiao: 9518.449 | MortenaxBlade: 7998.885 | Tribbie: 2776.769 | HuoHuo: 69.244
Run   85: Team DPAV: 20491.039 | Feixiao: 9518.449 | MortenaxBlade: 7998.885 | Tribbie: 2776.769 | HuoHuo: 69.244
Run   86: Team DPAV: 19111.424 | Feixiao: 9111.739 | MortenaxBlade: 7146.680 | Tribbie: 2653.597 | HuoHuo: 71.717
Run   87: Team DPAV: 20345.839 | Feixiao: 9439.108 | MortenaxBlade: 7971.752 | Tribbie: 2712.506 | HuoHuo: 69.244
Run   88: Team DPAV: 20559.659 | Feixiao: 9612.338 | MortenaxBlade: 7979.184 | Tribbie: 2795.532 | HuoHuo: 70.453
Run   89: Team DPAV: 20303.546 | Feixiao: 9245.893 | MortenaxBlade: 7991.016 | Tribbie: 2768.794 | HuoHuo: 195.689
Run   90: Team DPAV: 19820.430 | Feixiao: 9302.198 | MortenaxBlade: 7637.469 | Tribbie: 2659.516 | HuoHuo: 68.017
Run   91: Team DPAV: 20303.429 | Feixiao: 9357.052 | MortenaxBlade: 7973.399 | Tribbie: 2799.108 | HuoHuo: 71.717
Run   92: Team DPAV: 20577.670 | Feixiao: 9614.221 | MortenaxBlade: 7998.885 | Tribbie: 2767.629 | HuoHuo: 69.244
Run   93: Team DPAV: 19885.815 | Feixiao: 9207.972 | MortenaxBlade: 7733.149 | Tribbie: 2710.697 | HuoHuo: 131.844
Run   94: Team DPAV: 20370.301 | Feixiao: 9511.235 | MortenaxBlade: 7933.446 | Tribbie: 2751.768 | HuoHuo: 71.698
Run   95: Team DPAV: 20132.573 | Feixiao: 9353.632 | MortenaxBlade: 7862.124 | Tribbie: 2718.655 | HuoHuo: 70.471
Run   96: Team DPAV: 20646.102 | Feixiao: 9708.110 | MortenaxBlade: 7979.184 | Tribbie: 2786.202 | HuoHuo: 70.453
Run   97: Team DPAV: 20190.536 | Feixiao: 9374.706 | MortenaxBlade: 7943.448 | Tribbie: 2675.447 | HuoHuo: 69.244
Run   98: Team DPAV: 20487.793 | Feixiao: 9518.449 | MortenaxBlade: 7998.885 | Tribbie: 2773.524 | HuoHuo: 69.244
Run   99: Team DPAV: 20064.437 | Feixiao: 9181.498 | MortenaxBlade: 7975.843 | Tribbie: 2707.688 | HuoHuo: 71.717
Run  100: Team DPAV: 20051.853 | Feixiao: 9409.382 | MortenaxBlade: 7730.889 | Tribbie: 2718.064 | HuoHuo: 65.828

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 20261.089
Average Feixiao DPAV: 9473.014
Average MortenaxBlade DPAV: 7847.715
Average Tribbie DPAV: 2747.233
Average HuoHuo DPAV: 75.396

Min Team DPAV: 18016.912
Max Team DPAV: 21188.764
