Simulation Results - 100 runs
================================================================================

Run   61: Team DPAV: 47183.960 | Sparxie: 107.664 | Sparkle: 0.000 | YaoGuang: -231.559 | HuoHuo: 0.000
Run   62: Team DPAV: 46495.626 | Sparxie: -601.727 | Sparkle: 0.000 | YaoGuang: -86.606 | HuoHuo: 0.000
Run   63: Team DPAV: 45338.118 | Sparxie: -1324.295 | Sparkle: 0.000 | YaoGuang: 166.787 | HuoHuo: 0.000
Run   64: Team DPAV: 48257.828 | Sparxie: 2746.494 | Sparkle: 0.000 | YaoGuang: 173.216 | HuoHuo: 0.000
Run   65: Team DPAV: 45128.708 | Sparxie: -2901.911 | Sparkle: 0.000 | YaoGuang: -227.208 | HuoHuo: 0.000
Run   66: Team DPAV: 42006.289 | Sparxie: -2436.310 | Sparkle: 0.000 | YaoGuang: -686.109 | HuoHuo: 0.000
Run   67: Team DPAV: 45795.697 | Sparxie: 3215.822 | Sparkle: 0.000 | YaoGuang: 574.430 | HuoHuo: -0.844
Run   68: Team DPAV: 46205.729 | Sparxie: 326.991 | Sparkle: 0.000 | YaoGuang: 82.197 | HuoHuo: 0.844
Run   69: Team DPAV: 45753.155 | Sparxie: -352.143 | Sparkle: 0.000 | YaoGuang: -100.432 | HuoHuo: 0.000
Run   70: Team DPAV: 43354.270 | Sparxie: -2406.328 | Sparkle: 0.000 | YaoGuang: 9.222 | HuoHuo: -0.844
Run   71: Team DPAV: 46445.636 | Sparxie: 2739.239 | Sparkle: 0.000 | YaoGuang: 350.348 | HuoHuo: 0.844
Run   72: Team DPAV: 46170.206 | Sparxie: -39.297 | Sparkle: 0.000 | YaoGuang: -236.134 | HuoHuo: 0.000
Run   73: Team DPAV: 45004.710 | Sparxie: -935.181 | Sparkle: 0.000 | YaoGuang: -230.315 | HuoHuo: 0.000
Run   74: Team DPAV: 44310.310 | Sparxie: -582.727 | Sparkle: 0.000 | YaoGuang: -111.673 | HuoHuo: 0.000
Run   75: Team DPAV: 45375.122 | Sparxie: 804.671 | Sparkle: 0.000 | YaoGuang: 260.270 | HuoHuo: -0.128
Run   76: Team DPAV: 47427.782 | Sparxie: 2027.098 | Sparkle: 0.000 | YaoGuang: 25.433 | HuoHuo: 0.128
Run   77: Team DPAV: 44544.974 | Sparxie: -2652.983 | Sparkle: 0.000 | YaoGuang: -229.825 | HuoHuo: 0.000
Run   78: Team DPAV: 46649.626 | Sparxie: 1683.708 | Sparkle: 0.000 | YaoGuang: 421.001 | HuoHuo: -0.058
Run   79: Team DPAV: 45547.283 | Sparxie: -844.754 | Sparkle: 0.000 | YaoGuang: -257.646 | HuoHuo: 0.058
Run   80: Team DPAV: 47066.622 | Sparxie: 1432.865 | Sparkle: 0.000 | YaoGuang: 86.474 | HuoHuo: 0.000
