Simulation Results - 100 runs
================================================================================

Run   96: Team DPAV: 34857.580 | Ashveil: 14316.647 | MortenaxBlade: 9232.051 | YaoGuang: 11163.571 | HuoHuo: 0.000
Run   97: Team DPAV: 36130.971 | Ashveil: 13819.240 | MortenaxBlade: 10957.916 | YaoGuang: 11234.974 | HuoHuo: 0.000
Run   98: Team DPAV: 36130.364 | Ashveil: 14507.828 | MortenaxBlade: 9848.649 | YaoGuang: 11628.577 | HuoHuo: 0.000
Run   99: Team DPAV: 36644.825 | Ashveil: 13841.643 | MortenaxBlade: 11318.710 | YaoGuang: 11339.161 | HuoHuo: 0.000
Run  100: Team DPAV: 34365.266 | Ashveil: 13809.046 | MortenaxBlade: 9185.967 | YaoGuang: 11224.942 | HuoHuo: 0.000

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 35517.288
Average Ashveil DPAV: 13868.068
Average MortenaxBlade DPAV: 10215.538
Average YaoGuang DPAV: 11301.717
Average HuoHuo DPAV: 0.000

Min Team DPAV: 31082.079
Max Team DPAV: 39787.715
