Simulation Results - 100 runs
================================================================================

Run   61: Team DPAV: 30622.516 | Evanescia: 24042.402 | Tribbie: 3086.051 | HuoHuo: 27.870 | ElationMC: 2548.967
Run   62: Team DPAV: 36325.014 | Evanescia: 29236.119 | Tribbie: 3446.972 | HuoHuo: 28.661 | ElationMC: 2704.612
Run   63: Team DPAV: 34799.560 | Evanescia: 27848.507 | Tribbie: 3376.286 | HuoHuo: 28.177 | ElationMC: 2629.363
Run   64: Team DPAV: 36987.737 | Evanescia: 29833.013 | Tribbie: 3544.591 | HuoHuo: 28.661 | ElationMC: 2669.963
Run   65: Team DPAV: 35823.404 | Evanescia: 28858.567 | Tribbie: 3395.566 | HuoHuo: 28.661 | ElationMC: 2575.559
Run   66: Team DPAV: 36151.247 | Evanescia: 29215.679 | Tribbie: 3432.116 | HuoHuo: 28.969 | ElationMC: 2565.832
Run   67: Team DPAV: 35390.831 | Evanescia: 28374.065 | Tribbie: 3411.930 | HuoHuo: 27.316 | ElationMC: 2644.958
Run   68: Team DPAV: 35931.164 | Evanescia: 29006.549 | Tribbie: 3401.538 | HuoHuo: 28.386 | ElationMC: 2577.464
Run   69: Team DPAV: 36187.993 | Evanescia: 29176.537 | Tribbie: 3394.129 | HuoHuo: 28.969 | ElationMC: 2671.132
Run   70: Team DPAV: 34771.707 | Evanescia: 27859.995 | Tribbie: 3389.664 | HuoHuo: 27.870 | ElationMC: 2531.987
Run   71: Team DPAV: 36608.853 | Evanescia: 29588.391 | Tribbie: 3438.428 | HuoHuo: 28.969 | ElationMC: 2644.415
Run   72: Team DPAV: 31128.429 | Evanescia: 24556.489 | Tribbie: 3062.332 | HuoHuo: 28.177 | ElationMC: 2564.204
Run   73: Team DPAV: 36619.220 | Evanescia: 29674.586 | Tribbie: 3437.393 | HuoHuo: 28.658 | ElationMC: 2638.810
Run   74: Team DPAV: 31679.786 | Evanescia: 25170.275 | Tribbie: 2955.627 | HuoHuo: 28.075 | ElationMC: 2560.760
Run   75: Team DPAV: 35885.893 | Evanescia: 28840.631 | Tribbie: 3418.313 | HuoHuo: 28.694 | ElationMC: 2686.746
Run   76: Team DPAV: 31568.844 | Evanescia: 25031.981 | Tribbie: 2985.115 | HuoHuo: 28.177 | ElationMC: 2606.344
Run   77: Team DPAV: 36001.709 | Evanescia: 29090.322 | Tribbie: 3417.746 | HuoHuo: 28.661 | ElationMC: 2553.471
Run   78: Team DPAV: 34395.777 | Evanescia: 27525.948 | Tribbie: 3383.309 | HuoHuo: 27.870 | ElationMC: 2541.424
Run   79: Team DPAV: 36466.120 | Evanescia: 29316.121 | Tribbie: 3537.650 | HuoHuo: 28.969 | ElationMC: 2674.730
Run   80: Team DPAV: 36427.723 | Evanescia: 29460.705 | Tribbie: 3419.702 | HuoHuo: 27.902 | ElationMC: 2610.762
Run   81: Team DPAV: 31774.701 | Evanescia: 25257.770 | Tribbie: 3003.598 | HuoHuo: 28.661 | ElationMC: 2567.446
Run   82: Team DPAV: 34917.940 | Evanescia: 27951.560 | Tribbie: 3415.381 | HuoHuo: 27.870 | ElationMC: 2560.938
Run   83: Team DPAV: 32415.980 | Evanescia: 25572.537 | Tribbie: 3275.125 | HuoHuo: 28.177 | ElationMC: 2622.914
Run   84: Team DPAV: 36274.063 | Evanescia: 29255.574 | Tribbie: 3440.970 | HuoHuo: 28.969 | ElationMC: 2634.181
Run   85: Team DPAV: 35618.200 | Evanescia: 28583.605 | Tribbie: 3438.186 | HuoHuo: 28.969 | ElationMC: 2658.790
Run   86: Team DPAV: 34966.807 | Evanescia: 27969.763 | Tribbie: 3361.310 | HuoHuo: 28.419 | ElationMC: 2694.376
Run   87: Team DPAV: 35614.812 | Evanescia: 28583.395 | Tribbie: 3403.469 | HuoHuo: 27.595 | ElationMC: 2642.450
