Simulation Results - 100 runs
================================================================================

Run   59: Team DPAV: 15492.379 | Feixiao: 7491.962 | MortenaxBlade: 4789.781 | Cipher: 3030.633 | HuoHuo: 53.174
Run   60: Team DPAV: 15055.957 | Feixiao: 6979.097 | MortenaxBlade: 4746.274 | Cipher: 3150.583 | HuoHuo: 53.174
Run   61: Team DPAV: 15080.384 | Feixiao: 7634.474 | MortenaxBlade: 4088.069 | Cipher: 3176.914 | HuoHuo: 54.100
Run   62: Team DPAV: 15492.379 | Feixiao: 7491.962 | MortenaxBlade: 4789.781 | Cipher: 3030.633 | HuoHuo: 53.174
Run   63: Team DPAV: 15773.578 | Feixiao: 7625.979 | MortenaxBlade: 4706.017 | Cipher: 3285.804 | HuoHuo: 53.157
Run   64: Team DPAV: 15492.379 | Feixiao: 7491.962 | MortenaxBlade: 4789.781 | Cipher: 3030.633 | HuoHuo: 53.174
Run   65: Team DPAV: 15388.151 | Feixiao: 7566.100 | MortenaxBlade: 4569.627 | Cipher: 3075.594 | HuoHuo: 50.001
Run   66: Team DPAV: 15086.437 | Feixiao: 7167.106 | MortenaxBlade: 4759.090 | Cipher: 2980.413 | HuoHuo: 52.999
Run   67: Team DPAV: 15492.379 | Feixiao: 7491.962 | MortenaxBlade: 4789.781 | Cipher: 3030.633 | HuoHuo: 53.174
Run   68: Team DPAV: 15135.838 | Feixiao: 7167.106 | MortenaxBlade: 4797.494 | Cipher: 2991.234 | HuoHuo: 53.174
Run   69: Team DPAV: 15792.764 | Feixiao: 7616.380 | MortenaxBlade: 4727.236 | Cipher: 3293.371 | HuoHuo: 53.157
Run   70: Team DPAV: 13834.254 | Feixiao: 6533.723 | MortenaxBlade: 4231.687 | Cipher: 2910.960 | HuoHuo: 55.263
Run   71: Team DPAV: 15135.838 | Feixiao: 7167.106 | MortenaxBlade: 4797.494 | Cipher: 2991.234 | HuoHuo: 53.174
Run   72: Team DPAV: 15610.082 | Feixiao: 7488.741 | MortenaxBlade: 4722.168 | Cipher: 3219.426 | HuoHuo: 52.919
Run   73: Team DPAV: 15610.082 | Feixiao: 7488.741 | MortenaxBlade: 4722.168 | Cipher: 3219.426 | HuoHuo: 52.919
Run   74: Team DPAV: 15798.330 | Feixiao: 7634.474 | MortenaxBlade: 4692.897 | Cipher: 3290.031 | HuoHuo: 54.100
Run   75: Team DPAV: 15492.379 | Feixiao: 7491.962 | MortenaxBlade: 4789.781 | Cipher: 3030.633 | HuoHuo: 53.174
