Simulation Results - 100 runs
================================================================================

Run   66: Team DPAV: 40833.543 | MortenaxBlade: 37373.008 | Sunday: 0.000 | Tribbie: 3275.651 | HuoHuo: 31.655
Run   67: Team DPAV: 43480.114 | MortenaxBlade: 39674.048 | Sunday: 0.000 | Tribbie: 3622.237 | HuoHuo: 30.600
Run   68: Team DPAV: 46739.768 | MortenaxBlade: 42823.865 | Sunday: 0.000 | Tribbie: 3740.587 | HuoHuo: 30.600
Run   69: Team DPAV: 44264.846 | MortenaxBlade: 40704.586 | Sunday: 0.000 | Tribbie: 3376.432 | HuoHuo: 30.600
Run   70: Team DPAV: 45396.212 | MortenaxBlade: 41729.687 | Sunday: 0.000 | Tribbie: 3499.722 | HuoHuo: 30.600
Run   71: Team DPAV: 45545.221 | MortenaxBlade: 42013.700 | Sunday: 0.000 | Tribbie: 3364.718 | HuoHuo: 30.600
Run   72: Team DPAV: 40967.449 | MortenaxBlade: 37547.522 | Sunday: 0.000 | Tribbie: 3244.610 | HuoHuo: 30.600
Run   73: Team DPAV: 40525.127 | MortenaxBlade: 37057.952 | Sunday: 0.000 | Tribbie: 3282.291 | HuoHuo: 31.655
Run   74: Team DPAV: 45541.249 | MortenaxBlade: 41858.510 | Sunday: 0.000 | Tribbie: 3514.880 | HuoHuo: 31.655
Run   75: Team DPAV: 44262.810 | MortenaxBlade: 40763.924 | Sunday: 0.000 | Tribbie: 3332.082 | HuoHuo: 30.600
Run   76: Team DPAV: 44413.837 | MortenaxBlade: 40914.951 | Sunday: 0.000 | Tribbie: 3332.082 | HuoHuo: 30.600
Run   77: Team DPAV: 45394.194 | MortenaxBlade: 41862.672 | Sunday: 0.000 | Tribbie: 3364.718 | HuoHuo: 30.600
Run   78: Team DPAV: 44413.837 | MortenaxBlade: 40914.951 | Sunday: 0.000 | Tribbie: 3332.082 | HuoHuo: 30.600
Run   79: Team DPAV: 47438.974 | MortenaxBlade: 43403.970 | Sunday: 0.000 | Tribbie: 3850.119 | HuoHuo: 31.655
Run   80: Team DPAV: 47899.146 | MortenaxBlade: 43884.122 | Sunday: 0.000 | Tribbie: 3848.221 | HuoHuo: 30.600
Run   81: Team DPAV: 44267.407 | MortenaxBlade: 40694.084 | Sunday: 0.000 | Tribbie: 3389.495 | HuoHuo: 30.600
Run   82: Team DPAV: 52137.781 | MortenaxBlade: 47949.060 | Sunday: 0.000 | Tribbie: 3995.324 | HuoHuo: 31.655
Run   83: Team DPAV: 45039.144 | MortenaxBlade: 41371.980 | Sunday: 0.000 | Tribbie: 3499.305 | HuoHuo: 31.655
Run   84: Team DPAV: 45394.194 | MortenaxBlade: 41862.672 | Sunday: 0.000 | Tribbie: 3364.718 | HuoHuo: 30.600
Run   85: Team DPAV: 44413.837 | MortenaxBlade: 40914.951 | Sunday: 0.000 | Tribbie: 3332.082 | HuoHuo: 30.600
Run   86: Team DPAV: 43453.083 | MortenaxBlade: 39777.679 | Sunday: 0.000 | Tribbie: 3491.574 | HuoHuo: 30.600
Run   87: Team DPAV: 42363.660 | MortenaxBlade: 38571.924 | Sunday: 0.000 | Tribbie: 3607.907 | HuoHuo: 30.600
Run   88: Team DPAV: 44264.846 | MortenaxBlade: 40704.586 | Sunday: 0.000 | Tribbie: 3376.432 | HuoHuo: 30.600
Run   89: Team DPAV: 44431.953 | MortenaxBlade: 40914.951 | Sunday: 0.000 | Tribbie: 3350.198 | HuoHuo: 30.600
Run   90: Team DPAV: 46507.009 | MortenaxBlade: 42701.735 | Sunday: 0.000 | Tribbie: 3629.958 | HuoHuo: 30.600
