Simulation Results - 100 runs
================================================================================

Run   60: Team DPAV: 54422.127 | Ashveil: 30809.922 | MortenaxBlade: 17706.906 | Tribbie: 5615.410 | HuoHuo: 110.515
Run   61: Team DPAV: 53747.831 | Ashveil: 29936.837 | MortenaxBlade: 17695.694 | Tribbie: 5825.411 | HuoHuo: 110.515
Run   62: Team DPAV: 57221.430 | Ashveil: 32927.535 | MortenaxBlade: 18220.682 | Tribbie: 5815.266 | HuoHuo: 110.515
Run   63: Team DPAV: 53090.872 | Ashveil: 31010.473 | MortenaxBlade: 16326.991 | Tribbie: 5495.460 | HuoHuo: 110.515
Run   64: Team DPAV: 51909.253 | Ashveil: 29651.350 | MortenaxBlade: 16393.992 | Tribbie: 5542.080 | HuoHuo: 110.515
Run   65: Team DPAV: 53445.646 | Ashveil: 31088.945 | MortenaxBlade: 16493.789 | Tribbie: 5573.022 | HuoHuo: 110.515
Run   66: Team DPAV: 53366.300 | Ashveil: 30079.831 | MortenaxBlade: 17294.669 | Tribbie: 5707.532 | HuoHuo: 104.894
Run   67: Team DPAV: 53325.588 | Ashveil: 30300.861 | MortenaxBlade: 17204.420 | Tribbie: 5530.418 | HuoHuo: 110.515
Run   68: Team DPAV: 52759.709 | Ashveil: 30157.523 | MortenaxBlade: 16455.319 | Tribbie: 5856.977 | HuoHuo: 110.515
Run   69: Team DPAV: 57839.641 | Ashveil: 33272.150 | MortenaxBlade: 18272.401 | Tribbie: 6037.142 | HuoHuo: 110.515
Run   70: Team DPAV: 50624.669 | Ashveil: 29084.704 | MortenaxBlade: 15824.714 | Tribbie: 5457.302 | HuoHuo: 110.515
Run   71: Team DPAV: 53286.907 | Ashveil: 30969.711 | MortenaxBlade: 16287.909 | Tribbie: 5771.339 | HuoHuo: 110.515
Run   72: Team DPAV: 55916.573 | Ashveil: 33405.440 | MortenaxBlade: 16406.216 | Tribbie: 5846.969 | HuoHuo: 110.515
Run   73: Team DPAV: 52908.181 | Ashveil: 30570.968 | MortenaxBlade: 16369.954 | Tribbie: 5709.312 | HuoHuo: 110.515
Run   74: Team DPAV: 56247.338 | Ashveil: 30753.000 | MortenaxBlade: 19204.925 | Tribbie: 5999.523 | HuoHuo: 110.515
Run   75: Team DPAV: 54474.345 | Ashveil: 30261.381 | MortenaxBlade: 18083.781 | Tribbie: 5839.293 | HuoHuo: 110.515
Run   76: Team DPAV: 51844.683 | Ashveil: 30416.831 | MortenaxBlade: 15729.423 | Tribbie: 5440.480 | HuoHuo: 110.515
Run   77: Team DPAV: 53106.823 | Ashveil: 30230.778 | MortenaxBlade: 16742.705 | Tribbie: 5843.450 | HuoHuo: 110.515
Run   78: Team DPAV: 54422.127 | Ashveil: 30809.922 | MortenaxBlade: 17706.906 | Tribbie: 5615.410 | HuoHuo: 110.515
Run   79: Team DPAV: 52609.582 | Ashveil: 30368.639 | MortenaxBlade: 16276.928 | Tribbie: 5706.067 | HuoHuo: 110.515
Run   80: Team DPAV: 52310.685 | Ashveil: 29963.264 | MortenaxBlade: 16359.162 | Tribbie: 5730.311 | HuoHuo: 110.515
Run   81: Team DPAV: 55940.665 | Ashveil: 33388.449 | MortenaxBlade: 16449.611 | Tribbie: 5844.657 | HuoHuo: 110.515
Run   82: Team DPAV: 59663.763 | Ashveil: 34433.806 | MortenaxBlade: 18756.854 | Tribbie: 6215.155 | HuoHuo: 110.515
Run   83: Team DPAV: 52630.687 | Ashveil: 30203.566 | MortenaxBlade: 16353.727 | Tribbie: 5783.504 | HuoHuo: 110.515
Run   84: Team DPAV: 54474.345 | Ashveil: 30261.381 | MortenaxBlade: 18083.781 | Tribbie: 5839.293 | HuoHuo: 110.515
Run   85: Team DPAV: 51143.655 | Ashveil: 29819.114 | MortenaxBlade: 15671.577 | Tribbie: 5363.075 | HuoHuo: 110.515
Run   86: Team DPAV: 54226.197 | Ashveil: 30086.542 | MortenaxBlade: 18209.890 | Tribbie: 5671.817 | HuoHuo: 110.515
Run   87: Team DPAV: 51470.069 | Ashveil: 29405.626 | MortenaxBlade: 16270.476 | Tribbie: 5472.135 | HuoHuo: 110.515
Run   88: Team DPAV: 51848.727 | Ashveil: 29676.961 | MortenaxBlade: 16250.381 | Tribbie: 5663.437 | HuoHuo: 110.515
Run   89: Team DPAV: 55055.151 | Ashveil: 30504.146 | MortenaxBlade: 18346.939 | Tribbie: 5919.798 | HuoHuo: 104.894
Run   90: Team DPAV: 52509.318 | Ashveil: 29997.300 | MortenaxBlade: 16722.234 | Tribbie: 5531.836 | HuoHuo: 110.515
Run   91: Team DPAV: 52387.982 | Ashveil: 29899.245 | MortenaxBlade: 16652.256 | Tribbie: 5578.534 | HuoHuo: 110.515
Run   92: Team DPAV: 52596.954 | Ashveil: 30105.121 | MortenaxBlade: 16747.445 | Tribbie: 5460.120 | HuoHuo: 104.894
Run   93: Team DPAV: 53435.010 | Ashveil: 31112.228 | MortenaxBlade: 16364.038 | Tribbie: 5700.796 | HuoHuo: 110.515
Run   94: Team DPAV: 53929.595 | Ashveil: 29835.200 | MortenaxBlade: 18109.045 | Tribbie: 5663.519 | HuoHuo: 110.515
Run   95: Team DPAV: 55638.353 | Ashveil: 30714.443 | MortenaxBlade: 18640.963 | Tribbie: 5993.058 | HuoHuo: 110.515
Run   96: Team DPAV: 52582.177 | Ashveil: 30340.890 | MortenaxBlade: 16283.646 | Tribbie: 5699.694 | HuoHuo: 110.515
Run   97: Team DPAV: 54958.933 | Ashveil: 30142.031 | MortenaxBlade: 18640.963 | Tribbie: 5886.049 | HuoHuo: 110.515
Run   98: Team DPAV: 51869.011 | Ashveil: 30442.842 | MortenaxBlade: 15736.009 | Tribbie: 5400.271 | HuoHuo: 110.515
Run   99: Team DPAV: 53361.789 | Ashveil: 31063.157 | MortenaxBlade: 16339.888 | Tribbie: 5700.796 | HuoHuo: 110.515
Run  100: Team DPAV: 58745.300 | Ashveil: 33630.874 | MortenaxBlade: 18732.555 | Tribbie: 6123.923 | HuoHuo: 110.515

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 54349.227
Average Ashveil DPAV: 30955.988
Average MortenaxBlade DPAV: 17354.113
Average Tribbie DPAV: 5764.116
Average HuoHuo DPAV: 110.009

Min Team DPAV: 50624.669
Max Team DPAV: 59979.351
