Simulation Results - 100 runs
================================================================================

Run   76: Team DPAV: 28678.562 | Saber: 14934.527 | Gilgamesh: 9540.650 | Cipher: 3968.955 | HuoHuo: 0.000
Run   77: Team DPAV: 28929.801 | Saber: 15075.014 | Gilgamesh: 9604.666 | Cipher: 4015.690 | HuoHuo: 0.000
Run   78: Team DPAV: 24612.752 | Saber: 12115.166 | Gilgamesh: 7869.088 | Cipher: 4394.068 | HuoHuo: 0.000
Run   79: Team DPAV: 29184.125 | Saber: 14778.047 | Gilgamesh: 10033.730 | Cipher: 4137.917 | HuoHuo: 0.000
Run   80: Team DPAV: 24110.053 | Saber: 11089.642 | Gilgamesh: 8451.481 | Cipher: 4334.499 | HuoHuo: 0.000
Run   81: Team DPAV: 29990.480 | Saber: 15874.622 | Gilgamesh: 9637.895 | Cipher: 4243.532 | HuoHuo: 0.000
Run   82: Team DPAV: 27802.068 | Saber: 14907.998 | Gilgamesh: 8580.183 | Cipher: 4079.457 | HuoHuo: 0.000
Run   83: Team DPAV: 29990.480 | Saber: 15874.622 | Gilgamesh: 9637.895 | Cipher: 4243.532 | HuoHuo: 0.000
Run   84: Team DPAV: 28678.562 | Saber: 14934.527 | Gilgamesh: 9540.650 | Cipher: 3968.955 | HuoHuo: 0.000
Run   85: Team DPAV: 25972.010 | Saber: 12997.177 | Gilgamesh: 8170.748 | Cipher: 4569.654 | HuoHuo: 0.000
Run   86: Team DPAV: 27944.184 | Saber: 15065.275 | Gilgamesh: 8597.139 | Cipher: 4047.340 | HuoHuo: 0.000
Run   87: Team DPAV: 27833.549 | Saber: 14934.527 | Gilgamesh: 8580.183 | Cipher: 4084.409 | HuoHuo: 0.000
Run   88: Team DPAV: 28899.200 | Saber: 15058.381 | Gilgamesh: 9595.826 | Cipher: 4010.563 | HuoHuo: 0.000
Run   89: Team DPAV: 31886.681 | Saber: 16986.269 | Gilgamesh: 10094.717 | Cipher: 4571.265 | HuoHuo: 0.000
Run   90: Team DPAV: 27916.387 | Saber: 14788.260 | Gilgamesh: 8434.526 | Cipher: 4459.170 | HuoHuo: 0.000
Run   91: Team DPAV: 24110.053 | Saber: 11089.642 | Gilgamesh: 8451.481 | Cipher: 4334.499 | HuoHuo: 0.000
Run   92: Team DPAV: 29026.623 | Saber: 15874.622 | Gilgamesh: 8580.183 | Cipher: 4337.387 | HuoHuo: 0.000
Run   93: Team DPAV: 28919.649 | Saber: 16014.971 | Gilgamesh: 8390.831 | Cipher: 4279.416 | HuoHuo: 0.000
Run   94: Team DPAV: 29026.623 | Saber: 15874.622 | Gilgamesh: 8580.183 | Cipher: 4337.387 | HuoHuo: 0.000
Run   95: Team DPAV: 29026.623 | Saber: 15874.622 | Gilgamesh: 8580.183 | Cipher: 4337.387 | HuoHuo: 0.000
Run   96: Team DPAV: 28899.200 | Saber: 15058.381 | Gilgamesh: 9595.826 | Cipher: 4010.563 | HuoHuo: 0.000
Run   97: Team DPAV: 24400.096 | Saber: 11089.642 | Gilgamesh: 8735.114 | Cipher: 4340.909 | HuoHuo: 0.000
Run   98: Team DPAV: 29184.125 | Saber: 14778.047 | Gilgamesh: 10033.730 | Cipher: 4137.917 | HuoHuo: 0.000
Run   99: Team DPAV: 24110.053 | Saber: 11089.642 | Gilgamesh: 8451.481 | Cipher: 4334.499 | HuoHuo: 0.000
Run  100: Team DPAV: 28678.562 | Saber: 14934.527 | Gilgamesh: 9540.650 | Cipher: 3968.955 | HuoHuo: 0.000

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 27850.777
Average Saber DPAV: 14368.282 Percentage: 51.590%
Average Gilgamesh DPAV: 9039.532 Percentage: 32.457%
Average Cipher DPAV: 4208.092 Percentage: 15.109%
Average HuoHuo DPAV: 0.000 Percentage: 0.000%

Min Team DPAV: 24004.149
Max Team DPAV: 32104.672
