Simulation Results - 100 runs
================================================================================

Run   72: Team DPAV: 23970.138 | RinTohsaka: 23585.786 | Sparkle: 0.000 | Robin: 345.875 | HuoHuo: 38.477
Run   73: Team DPAV: 23337.714 | RinTohsaka: 23005.387 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   74: Team DPAV: 23879.239 | RinTohsaka: 23546.912 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   75: Team DPAV: 23315.195 | RinTohsaka: 22982.868 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   76: Team DPAV: 23557.704 | RinTohsaka: 23225.377 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   77: Team DPAV: 22907.827 | RinTohsaka: 22589.130 | Sparkle: 0.000 | Robin: 280.070 | HuoHuo: 38.628
Run   78: Team DPAV: 23235.185 | RinTohsaka: 22902.858 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   79: Team DPAV: 23326.314 | RinTohsaka: 23006.862 | Sparkle: 0.000 | Robin: 280.070 | HuoHuo: 39.383
Run   80: Team DPAV: 22679.466 | RinTohsaka: 22347.139 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   81: Team DPAV: 22521.254 | RinTohsaka: 22188.927 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   82: Team DPAV: 23684.253 | RinTohsaka: 23351.171 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 39.383
Run   83: Team DPAV: 23205.775 | RinTohsaka: 22873.448 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   84: Team DPAV: 23058.159 | RinTohsaka: 22725.832 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   85: Team DPAV: 23486.066 | RinTohsaka: 23153.738 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   86: Team DPAV: 22967.692 | RinTohsaka: 22663.747 | Sparkle: 0.000 | Robin: 271.609 | HuoHuo: 32.337
Run   87: Team DPAV: 23557.704 | RinTohsaka: 23225.377 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   88: Team DPAV: 23535.212 | RinTohsaka: 23202.885 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   89: Team DPAV: 23189.501 | RinTohsaka: 22867.278 | Sparkle: 0.000 | Robin: 283.595 | HuoHuo: 38.628
Run   90: Team DPAV: 23623.819 | RinTohsaka: 23291.492 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   91: Team DPAV: 22239.570 | RinTohsaka: 21958.891 | Sparkle: 0.000 | Robin: 248.342 | HuoHuo: 32.337
Run   92: Team DPAV: 23205.775 | RinTohsaka: 22873.448 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   93: Team DPAV: 23557.704 | RinTohsaka: 23225.377 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   94: Team DPAV: 23380.471 | RinTohsaka: 23061.774 | Sparkle: 0.000 | Robin: 280.070 | HuoHuo: 38.628
Run   95: Team DPAV: 23646.312 | RinTohsaka: 23313.985 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   96: Team DPAV: 22507.154 | RinTohsaka: 22186.669 | Sparkle: 0.000 | Robin: 282.382 | HuoHuo: 38.103
Run   97: Team DPAV: 23277.375 | RinTohsaka: 22958.678 | Sparkle: 0.000 | Robin: 280.070 | HuoHuo: 38.628
Run   98: Team DPAV: 23193.507 | RinTohsaka: 22871.284 | Sparkle: 0.000 | Robin: 283.595 | HuoHuo: 38.628
Run   99: Team DPAV: 23207.667 | RinTohsaka: 22875.340 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run  100: Team DPAV: 23563.481 | RinTohsaka: 23244.784 | Sparkle: 0.000 | Robin: 280.070 | HuoHuo: 38.628

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 23203.622
Average RinTohsaka DPAV: 22871.927 Percentage: 98.571%
Average Sparkle DPAV: 0.000 Percentage: 0.000%
Average Robin DPAV: 293.497 Percentage: 1.265%
Average HuoHuo DPAV: 38.197 Percentage: 0.165%

Min Team DPAV: 21028.218
Max Team DPAV: 24783.198
