Simulation Results - 100 runs
================================================================================

Run   63: Team DPAV: 29998.650 | Gilgamesh: 19654.234 | Ashveil: 8360.353 | Tribbie: 1448.757 | HuoHuo: 14.442
Run   64: Team DPAV: 30411.947 | Gilgamesh: 19631.354 | Ashveil: 8804.783 | Tribbie: 1446.898 | HuoHuo: 14.442
Run   65: Team DPAV: 30255.057 | Gilgamesh: 19681.736 | Ashveil: 8591.960 | Tribbie: 1452.450 | HuoHuo: 14.442
Run   66: Team DPAV: 31487.564 | Gilgamesh: 20261.857 | Ashveil: 9181.048 | Tribbie: 1502.614 | HuoHuo: 14.442
Run   67: Team DPAV: 31480.409 | Gilgamesh: 20350.607 | Ashveil: 9100.331 | Tribbie: 1484.111 | HuoHuo: 14.390
Run   68: Team DPAV: 30314.892 | Gilgamesh: 19697.145 | Ashveil: 8629.001 | Tribbie: 1463.256 | HuoHuo: 14.390
Run   69: Team DPAV: 31658.492 | Gilgamesh: 20341.076 | Ashveil: 9284.498 | Tribbie: 1504.059 | HuoHuo: 14.390
Run   70: Team DPAV: 30360.678 | Gilgamesh: 19703.625 | Ashveil: 8654.938 | Tribbie: 1456.754 | HuoHuo: 14.390
Run   71: Team DPAV: 31310.323 | Gilgamesh: 20287.817 | Ashveil: 8995.178 | Tribbie: 1481.916 | HuoHuo: 14.442
Run   72: Team DPAV: 30365.337 | Gilgamesh: 19676.122 | Ashveil: 8689.154 | Tribbie: 1458.069 | HuoHuo: 14.390
Run   73: Team DPAV: 30159.717 | Gilgamesh: 19631.354 | Ashveil: 8552.553 | Tribbie: 1446.898 | HuoHuo: 14.442
Run   74: Team DPAV: 32051.034 | Gilgamesh: 20292.550 | Ashveil: 9784.721 | Tribbie: 1451.590 | HuoHuo: 14.442
Run   75: Team DPAV: 31404.442 | Gilgamesh: 20278.416 | Ashveil: 9085.004 | Tribbie: 1498.977 | HuoHuo: 14.442
Run   76: Team DPAV: 31550.116 | Gilgamesh: 20282.880 | Ashveil: 9168.682 | Tribbie: 1556.509 | HuoHuo: 14.442
Run   77: Team DPAV: 30471.306 | Gilgamesh: 19767.395 | Ashveil: 8705.387 | Tribbie: 1482.746 | HuoHuo: 14.442
Run   78: Team DPAV: 31447.656 | Gilgamesh: 20350.607 | Ashveil: 8997.134 | Tribbie: 1554.555 | HuoHuo: 14.390
Run   79: Team DPAV: 31640.958 | Gilgamesh: 20368.579 | Ashveil: 9245.980 | Tribbie: 1497.540 | HuoHuo: 14.390
Run   80: Team DPAV: 32121.683 | Gilgamesh: 20292.550 | Ashveil: 9805.754 | Tribbie: 1501.206 | HuoHuo: 14.442
Run   81: Team DPAV: 31642.575 | Gilgamesh: 20368.579 | Ashveil: 9245.980 | Tribbie: 1499.157 | HuoHuo: 14.390
Run   82: Team DPAV: 30110.322 | Gilgamesh: 19587.845 | Ashveil: 8527.370 | Tribbie: 1453.063 | HuoHuo: 14.442
Run   83: Team DPAV: 30159.717 | Gilgamesh: 19631.354 | Ashveil: 8552.553 | Tribbie: 1446.898 | HuoHuo: 14.442
Run   84: Team DPAV: 32121.683 | Gilgamesh: 20292.550 | Ashveil: 9805.754 | Tribbie: 1501.206 | HuoHuo: 14.442
Run   85: Team DPAV: 32121.683 | Gilgamesh: 20292.550 | Ashveil: 9805.754 | Tribbie: 1501.206 | HuoHuo: 14.442
Run   86: Team DPAV: 30236.577 | Gilgamesh: 19681.736 | Ashveil: 8560.347 | Tribbie: 1452.450 | HuoHuo: 14.442
Run   87: Team DPAV: 32121.683 | Gilgamesh: 20292.550 | Ashveil: 9805.754 | Tribbie: 1501.206 | HuoHuo: 14.442
Run   88: Team DPAV: 31670.063 | Gilgamesh: 20392.653 | Ashveil: 9135.716 | Tribbie: 1596.334 | HuoHuo: 14.390
Run   89: Team DPAV: 30333.702 | Gilgamesh: 19682.989 | Ashveil: 8632.824 | Tribbie: 1482.293 | HuoHuo: 14.390
Run   90: Team DPAV: 30219.967 | Gilgamesh: 19681.736 | Ashveil: 8556.190 | Tribbie: 1453.130 | HuoHuo: 14.442
Run   91: Team DPAV: 31300.350 | Gilgamesh: 20261.857 | Ashveil: 8994.492 | Tribbie: 1501.957 | HuoHuo: 14.442
Run   92: Team DPAV: 30159.717 | Gilgamesh: 19631.354 | Ashveil: 8552.553 | Tribbie: 1446.898 | HuoHuo: 14.442
Run   93: Team DPAV: 31697.479 | Gilgamesh: 20324.517 | Ashveil: 9339.670 | Tribbie: 1504.433 | HuoHuo: 14.390
Run   94: Team DPAV: 30451.716 | Gilgamesh: 19676.122 | Ashveil: 8808.641 | Tribbie: 1438.094 | HuoHuo: 14.390
Run   95: Team DPAV: 30390.005 | Gilgamesh: 19649.814 | Ashveil: 8736.477 | Tribbie: 1471.487 | HuoHuo: 14.390
Run   96: Team DPAV: 29998.650 | Gilgamesh: 19654.234 | Ashveil: 8360.353 | Tribbie: 1448.757 | HuoHuo: 14.442
Run   97: Team DPAV: 31647.377 | Gilgamesh: 20341.076 | Ashveil: 9323.985 | Tribbie: 1453.457 | HuoHuo: 14.390
Run   98: Team DPAV: 30675.179 | Gilgamesh: 19676.122 | Ashveil: 8993.081 | Tribbie: 1463.984 | HuoHuo: 14.390
Run   99: Team DPAV: 31425.561 | Gilgamesh: 20278.416 | Ashveil: 9104.175 | Tribbie: 1500.926 | HuoHuo: 14.442
Run  100: Team DPAV: 30159.717 | Gilgamesh: 19631.354 | Ashveil: 8552.553 | Tribbie: 1446.898 | HuoHuo: 14.442

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 31131.704
Average Gilgamesh DPAV: 20097.518 Percentage: 64.556%
Average Ashveil DPAV: 9017.617 Percentage: 28.966%
Average Tribbie DPAV: 1483.890 Percentage: 4.766%
Average HuoHuo DPAV: 14.421 Percentage: 0.046%

Min Team DPAV: 29640.706
Max Team DPAV: 36426.291
