Simulation Results - 100 runs
================================================================================

Run   89: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   90: Team DPAV: 14458.894 | Saber: 12010.837 | Sunday: 0.000 | MortenaxBlade: 2214.707 | HuoHuo: 42.241
Run   91: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   92: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   93: Team DPAV: 14925.551 | Saber: 12494.002 | Sunday: 0.000 | MortenaxBlade: 2200.766 | HuoHuo: 39.673
Run   94: Team DPAV: 13714.781 | Saber: 11833.030 | Sunday: 0.000 | MortenaxBlade: 1705.733 | HuoHuo: 42.241
Run   95: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   96: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   97: Team DPAV: 13820.165 | Saber: 11418.437 | Sunday: 0.000 | MortenaxBlade: 2187.488 | HuoHuo: 42.241
Run   98: Team DPAV: 14226.210 | Saber: 11832.740 | Sunday: 0.000 | MortenaxBlade: 2216.511 | HuoHuo: 43.182
Run   99: Team DPAV: 14405.337 | Saber: 11985.399 | Sunday: 0.000 | MortenaxBlade: 2186.588 | HuoHuo: 42.241
Run  100: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 14105.755
Average Saber DPAV: 11816.427 Percentage: 83.770%
Average Sunday DPAV: 0.000 Percentage: 0.000%
Average MortenaxBlade DPAV: 2095.403 Percentage: 14.855%
Average HuoHuo DPAV: 41.822 Percentage: 0.296%

Min Team DPAV: 13319.486
Max Team DPAV: 14925.551
