Simulation Results - 100 runs
================================================================================

Run   62: Team DPAV: 12673.030 | Feixiao: 7185.082 | Robin: 994.644 | Ashveil: 4401.786 | HuoHuo: 32.033
Run   63: Team DPAV: 14395.940 | Feixiao: 8030.579 | Robin: 1224.522 | Ashveil: 5019.656 | HuoHuo: 37.258
Run   64: Team DPAV: 14780.069 | Feixiao: 8192.947 | Robin: 1292.310 | Ashveil: 5174.194 | HuoHuo: 36.692
Run   65: Team DPAV: 14896.897 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5201.845 | HuoHuo: 37.258
Run   66: Team DPAV: 12323.755 | Feixiao: 7123.751 | Robin: 975.286 | Ashveil: 4120.408 | HuoHuo: 32.606
Run   67: Team DPAV: 14472.312 | Feixiao: 8010.163 | Robin: 1246.334 | Ashveil: 5094.632 | HuoHuo: 37.258
Run   68: Team DPAV: 12834.261 | Feixiao: 7123.751 | Robin: 997.064 | Ashveil: 4609.136 | HuoHuo: 32.606
Run   69: Team DPAV: 14742.636 | Feixiao: 8174.643 | Robin: 1309.248 | Ashveil: 5138.127 | HuoHuo: 36.692
Run   70: Team DPAV: 12607.407 | Feixiao: 7123.751 | Robin: 975.286 | Ashveil: 4404.060 | HuoHuo: 32.606
Run   71: Team DPAV: 14685.215 | Feixiao: 8200.199 | Robin: 1287.470 | Ashveil: 5076.927 | HuoHuo: 36.692
Run   72: Team DPAV: 14828.402 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5133.350 | HuoHuo: 37.258
Run   73: Team DPAV: 14828.402 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5133.350 | HuoHuo: 37.258
Run   74: Team DPAV: 14395.940 | Feixiao: 8030.579 | Robin: 1224.522 | Ashveil: 5019.656 | HuoHuo: 37.258
Run   75: Team DPAV: 13189.456 | Feixiao: 7123.751 | Robin: 1099.151 | Ashveil: 4862.244 | HuoHuo: 32.606
Run   76: Team DPAV: 14395.940 | Feixiao: 8030.579 | Robin: 1224.522 | Ashveil: 5019.656 | HuoHuo: 37.258
Run   77: Team DPAV: 13053.803 | Feixiao: 7382.566 | Robin: 1139.830 | Ashveil: 4410.223 | HuoHuo: 37.258
Run   78: Team DPAV: 14461.387 | Feixiao: 8015.897 | Robin: 1229.362 | Ashveil: 5094.945 | HuoHuo: 37.258
Run   79: Team DPAV: 14593.867 | Feixiao: 8030.579 | Robin: 1268.112 | Ashveil: 5173.992 | HuoHuo: 37.258
Run   80: Team DPAV: 14896.897 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5201.845 | HuoHuo: 37.258
Run   81: Team DPAV: 14685.215 | Feixiao: 8200.199 | Robin: 1287.470 | Ashveil: 5076.927 | HuoHuo: 36.692
Run   82: Team DPAV: 14862.165 | Feixiao: 8200.377 | Robin: 1301.989 | Ashveil: 5239.181 | HuoHuo: 36.692
Run   83: Team DPAV: 12807.008 | Feixiao: 7123.751 | Robin: 1018.841 | Ashveil: 4560.106 | HuoHuo: 32.606
Run   84: Team DPAV: 12834.261 | Feixiao: 7123.751 | Robin: 997.064 | Ashveil: 4609.136 | HuoHuo: 32.606
Run   85: Team DPAV: 14828.402 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5133.350 | HuoHuo: 37.258
Run   86: Team DPAV: 12607.407 | Feixiao: 7123.751 | Robin: 975.286 | Ashveil: 4404.060 | HuoHuo: 32.606
Run   87: Team DPAV: 14593.867 | Feixiao: 8030.579 | Robin: 1268.112 | Ashveil: 5173.992 | HuoHuo: 37.258
Run   88: Team DPAV: 14896.897 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5201.845 | HuoHuo: 37.258
Run   89: Team DPAV: 14858.635 | Feixiao: 8267.247 | Robin: 1318.927 | Ashveil: 5151.843 | HuoHuo: 36.692
Run   90: Team DPAV: 14710.250 | Feixiao: 8271.736 | Robin: 1289.856 | Ashveil: 5027.475 | HuoHuo: 37.258
