Simulation Results - 100 runs
================================================================================

Run   80: Team DPAV: 63427.299 | Evanescia: 61110.593 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1594.609
Run   81: Team DPAV: 62103.661 | Evanescia: 59741.424 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1640.139
Run   82: Team DPAV: 66592.751 | Evanescia: 64247.356 | Sunday: 0.000 | HuoHuo: 17.558 | ElationMC: 1623.610
Run   83: Team DPAV: 62350.763 | Evanescia: 60016.287 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1612.379
Run   84: Team DPAV: 66609.514 | Evanescia: 64267.769 | Sunday: 0.000 | HuoHuo: 17.558 | ElationMC: 1619.960
Run   85: Team DPAV: 60625.114 | Evanescia: 58294.043 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1608.973
Run   86: Team DPAV: 60833.080 | Evanescia: 58517.715 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1593.268
Run   87: Team DPAV: 59733.397 | Evanescia: 57404.339 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1606.960
Run   88: Team DPAV: 65441.777 | Evanescia: 63066.583 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1653.097
Run   89: Team DPAV: 63441.946 | Evanescia: 61084.483 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1635.365
Run   90: Team DPAV: 65697.063 | Evanescia: 63381.568 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1593.397
Run   91: Team DPAV: 60931.138 | Evanescia: 58540.314 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1668.727
Run   92: Team DPAV: 59816.334 | Evanescia: 57398.038 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1696.199
Run   93: Team DPAV: 64785.161 | Evanescia: 62467.819 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1595.244
Run   94: Team DPAV: 64478.911 | Evanescia: 62127.124 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1629.689
Run   95: Team DPAV: 66877.039 | Evanescia: 64529.785 | Sunday: 0.000 | HuoHuo: 17.558 | ElationMC: 1625.469
Run   96: Team DPAV: 61476.318 | Evanescia: 59146.617 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1607.603
Run   97: Team DPAV: 64216.225 | Evanescia: 61828.643 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1665.484
Run   98: Team DPAV: 62271.106 | Evanescia: 59925.818 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1623.190
Run   99: Team DPAV: 70683.156 | Evanescia: 68301.324 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1659.734
Run  100: Team DPAV: 63758.816 | Evanescia: 61342.268 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1694.451

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 63966.595
Average Evanescia DPAV: 61609.646
Average Sunday DPAV: 0.000
Average HuoHuo DPAV: 17.845
Average ElationMC DPAV: 1635.425

Min Team DPAV: 57301.986
Max Team DPAV: 71260.852
