Simulation Results - 100 runs
================================================================================

Run   86: Team DPAV: 26096.389 | Acheron: 15313.778 | MortenaxBlade: 5499.280 | Cipher: 4922.443 | HuoHuo: 20.559
Run   87: Team DPAV: 24612.292 | Acheron: 15223.696 | MortenaxBlade: 4420.472 | Cipher: 4596.661 | HuoHuo: 19.477
Run   88: Team DPAV: 26130.084 | Acheron: 15565.056 | MortenaxBlade: 5362.535 | Cipher: 4877.453 | HuoHuo: 18.240
Run   89: Team DPAV: 25913.747 | Acheron: 15429.737 | MortenaxBlade: 5313.320 | Cipher: 4845.651 | HuoHuo: 18.240
Run   90: Team DPAV: 24162.392 | Acheron: 15009.345 | MortenaxBlade: 4244.170 | Cipher: 4543.869 | HuoHuo: 19.477
Run   91: Team DPAV: 24062.269 | Acheron: 14815.077 | MortenaxBlade: 4380.173 | Cipher: 4482.645 | HuoHuo: 19.477
Run   92: Team DPAV: 25908.305 | Acheron: 15201.107 | MortenaxBlade: 5443.697 | Cipher: 4923.624 | HuoHuo: 20.559
Run   93: Team DPAV: 23051.087 | Acheron: 15035.192 | MortenaxBlade: 3723.424 | Cipher: 3927.464 | HuoHuo: 19.477
Run   94: Team DPAV: 25884.357 | Acheron: 15251.730 | MortenaxBlade: 5468.823 | Cipher: 4799.517 | HuoHuo: 19.477
Run   95: Team DPAV: 24267.341 | Acheron: 15090.569 | MortenaxBlade: 4243.209 | Cipher: 4565.328 | HuoHuo: 19.477
Run   96: Team DPAV: 25612.322 | Acheron: 15190.042 | MortenaxBlade: 5279.519 | Cipher: 4811.265 | HuoHuo: 18.240
Run   97: Team DPAV: 26291.422 | Acheron: 15700.375 | MortenaxBlade: 5362.988 | Cipher: 4903.020 | HuoHuo: 18.240
Run   98: Team DPAV: 25899.126 | Acheron: 15383.649 | MortenaxBlade: 5331.173 | Cipher: 4852.809 | HuoHuo: 18.240
Run   99: Team DPAV: 24465.590 | Acheron: 14978.931 | MortenaxBlade: 4560.238 | Cipher: 4536.547 | HuoHuo: 20.559
Run  100: Team DPAV: 22983.164 | Acheron: 14457.300 | MortenaxBlade: 4267.735 | Cipher: 3893.122 | HuoHuo: 19.477

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 25414.843
Average Acheron DPAV: 15275.121
Average MortenaxBlade DPAV: 5041.018
Average Cipher DPAV: 4753.532
Average HuoHuo DPAV: 19.079

Min Team DPAV: 22983.164
Max Team DPAV: 26291.422
