Simulation Results - 100 runs
================================================================================

Run   61: Team DPAV: 25039.750 | RinTohsaka: 21036.381 | Sparkle: 0.000 | MortenaxBlade: 3428.927 | Lingsha: 574.442
Run   62: Team DPAV: 29541.856 | RinTohsaka: 25517.252 | Sparkle: 0.000 | MortenaxBlade: 3435.247 | Lingsha: 589.358
Run   63: Team DPAV: 25722.463 | RinTohsaka: 22382.550 | Sparkle: 0.000 | MortenaxBlade: 2887.095 | Lingsha: 452.818
Run   64: Team DPAV: 24502.116 | RinTohsaka: 20633.926 | Sparkle: 0.000 | MortenaxBlade: 3402.630 | Lingsha: 465.561
Run   65: Team DPAV: 25050.899 | RinTohsaka: 21079.184 | Sparkle: 0.000 | MortenaxBlade: 3429.110 | Lingsha: 542.604
Run   66: Team DPAV: 25858.052 | RinTohsaka: 22125.620 | Sparkle: 0.000 | MortenaxBlade: 3219.878 | Lingsha: 512.553
Run   67: Team DPAV: 30442.222 | RinTohsaka: 26511.774 | Sparkle: 0.000 | MortenaxBlade: 3333.692 | Lingsha: 596.756
Run   68: Team DPAV: 25356.056 | RinTohsaka: 21349.722 | Sparkle: 0.000 | MortenaxBlade: 3484.470 | Lingsha: 521.864
Run   69: Team DPAV: 27350.161 | RinTohsaka: 23245.724 | Sparkle: 0.000 | MortenaxBlade: 3554.050 | Lingsha: 550.387
Run   70: Team DPAV: 24378.629 | RinTohsaka: 20706.946 | Sparkle: 0.000 | MortenaxBlade: 3206.123 | Lingsha: 465.561
Run   71: Team DPAV: 27991.792 | RinTohsaka: 24478.801 | Sparkle: 0.000 | MortenaxBlade: 2991.765 | Lingsha: 521.226
Run   72: Team DPAV: 24879.868 | RinTohsaka: 20969.029 | Sparkle: 0.000 | MortenaxBlade: 3321.065 | Lingsha: 589.774
Run   73: Team DPAV: 24369.348 | RinTohsaka: 20783.001 | Sparkle: 0.000 | MortenaxBlade: 3119.088 | Lingsha: 467.259
Run   74: Team DPAV: 29490.882 | RinTohsaka: 25442.488 | Sparkle: 0.000 | MortenaxBlade: 3447.199 | Lingsha: 601.195
Run   75: Team DPAV: 27942.695 | RinTohsaka: 24320.110 | Sparkle: 0.000 | MortenaxBlade: 3151.488 | Lingsha: 471.098
Run   76: Team DPAV: 24748.663 | RinTohsaka: 20767.044 | Sparkle: 0.000 | MortenaxBlade: 3388.491 | Lingsha: 593.127
Run   77: Team DPAV: 24713.299 | RinTohsaka: 20816.754 | Sparkle: 0.000 | MortenaxBlade: 3399.146 | Lingsha: 497.399
Run   78: Team DPAV: 24732.962 | RinTohsaka: 20969.029 | Sparkle: 0.000 | MortenaxBlade: 3170.279 | Lingsha: 593.654
Run   79: Team DPAV: 25656.569 | RinTohsaka: 21785.274 | Sparkle: 0.000 | MortenaxBlade: 3289.782 | Lingsha: 581.514
