Simulation Results - 100 runs
================================================================================

Run   61: Team DPAV: 53353.670 | Archer: 46742.991 | RinTohsaka: 6451.889 | Sparkle: 0.000 | HuoHuo: 19.399
Run   62: Team DPAV: 52881.139 | Archer: 45703.847 | RinTohsaka: 7017.535 | Sparkle: 0.000 | HuoHuo: 20.366
Run   63: Team DPAV: 56337.811 | Archer: 49051.325 | RinTohsaka: 7127.097 | Sparkle: 0.000 | HuoHuo: 19.999
Run   64: Team DPAV: 54330.015 | Archer: 47002.553 | RinTohsaka: 7167.706 | Sparkle: 0.000 | HuoHuo: 20.366
Run   65: Team DPAV: 52418.104 | Archer: 45745.813 | RinTohsaka: 6512.534 | Sparkle: 0.000 | HuoHuo: 20.366
Run   66: Team DPAV: 53289.682 | Archer: 46116.543 | RinTohsaka: 7013.383 | Sparkle: 0.000 | HuoHuo: 20.366
Run   67: Team DPAV: 54653.984 | Archer: 46951.851 | RinTohsaka: 7542.744 | Sparkle: 0.000 | HuoHuo: 19.999
Run   68: Team DPAV: 53974.078 | Archer: 47284.106 | RinTohsaka: 6530.903 | Sparkle: 0.000 | HuoHuo: 19.680
Run   69: Team DPAV: 52418.104 | Archer: 45745.813 | RinTohsaka: 6512.534 | Sparkle: 0.000 | HuoHuo: 20.366
Run   70: Team DPAV: 53400.148 | Archer: 46227.121 | RinTohsaka: 7013.271 | Sparkle: 0.000 | HuoHuo: 20.366
Run   71: Team DPAV: 54276.240 | Archer: 46738.227 | RinTohsaka: 7378.256 | Sparkle: 0.000 | HuoHuo: 20.366
Run   72: Team DPAV: 53289.682 | Archer: 46116.543 | RinTohsaka: 7013.383 | Sparkle: 0.000 | HuoHuo: 20.366
Run   73: Team DPAV: 51672.657 | Archer: 44455.896 | RinTohsaka: 7057.372 | Sparkle: 0.000 | HuoHuo: 19.999
Run   74: Team DPAV: 53966.631 | Archer: 46369.427 | RinTohsaka: 7437.448 | Sparkle: 0.000 | HuoHuo: 20.366
Run   75: Team DPAV: 52418.104 | Archer: 45745.813 | RinTohsaka: 6512.534 | Sparkle: 0.000 | HuoHuo: 20.366
Run   76: Team DPAV: 53923.552 | Archer: 46742.333 | RinTohsaka: 7021.463 | Sparkle: 0.000 | HuoHuo: 20.366
Run   77: Team DPAV: 52084.255 | Archer: 45368.823 | RinTohsaka: 6556.643 | Sparkle: 0.000 | HuoHuo: 19.399
Run   78: Team DPAV: 53153.899 | Archer: 46123.919 | RinTohsaka: 6869.854 | Sparkle: 0.000 | HuoHuo: 20.736
Run   79: Team DPAV: 53278.289 | Archer: 46388.556 | RinTohsaka: 6729.976 | Sparkle: 0.000 | HuoHuo: 20.366
Run   80: Team DPAV: 52213.214 | Archer: 45097.864 | RinTohsaka: 6955.594 | Sparkle: 0.000 | HuoHuo: 20.366
Run   81: Team DPAV: 51431.925 | Archer: 44617.021 | RinTohsaka: 6656.115 | Sparkle: 0.000 | HuoHuo: 19.399
Run   82: Team DPAV: 53082.530 | Archer: 45883.714 | RinTohsaka: 7039.059 | Sparkle: 0.000 | HuoHuo: 20.366
Run   83: Team DPAV: 53400.148 | Archer: 46227.121 | RinTohsaka: 7013.271 | Sparkle: 0.000 | HuoHuo: 20.366
Run   84: Team DPAV: 53744.839 | Archer: 46028.781 | RinTohsaka: 7556.302 | Sparkle: 0.000 | HuoHuo: 20.366
Run   85: Team DPAV: 54359.797 | Archer: 47242.314 | RinTohsaka: 6957.726 | Sparkle: 0.000 | HuoHuo: 20.366
Run   86: Team DPAV: 53907.786 | Archer: 47075.834 | RinTohsaka: 6672.563 | Sparkle: 0.000 | HuoHuo: 19.999
Run   87: Team DPAV: 52123.051 | Archer: 45132.102 | RinTohsaka: 6831.675 | Sparkle: 0.000 | HuoHuo: 19.883
Run   88: Team DPAV: 53360.539 | Archer: 46374.434 | RinTohsaka: 6826.716 | Sparkle: 0.000 | HuoHuo: 19.999
Run   89: Team DPAV: 52556.543 | Archer: 45863.566 | RinTohsaka: 6533.220 | Sparkle: 0.000 | HuoHuo: 20.366
Run   90: Team DPAV: 52881.139 | Archer: 45703.847 | RinTohsaka: 7017.535 | Sparkle: 0.000 | HuoHuo: 20.366
Run   91: Team DPAV: 53677.757 | Archer: 45957.771 | RinTohsaka: 7560.229 | Sparkle: 0.000 | HuoHuo: 20.366
Run   92: Team DPAV: 53400.148 | Archer: 46227.121 | RinTohsaka: 7013.271 | Sparkle: 0.000 | HuoHuo: 20.366
Run   93: Team DPAV: 53709.835 | Archer: 46994.214 | RinTohsaka: 6556.232 | Sparkle: 0.000 | HuoHuo: 19.999
Run   94: Team DPAV: 52397.415 | Archer: 45486.807 | RinTohsaka: 6751.335 | Sparkle: 0.000 | HuoHuo: 19.883
Run   95: Team DPAV: 54396.176 | Archer: 47278.693 | RinTohsaka: 6957.726 | Sparkle: 0.000 | HuoHuo: 20.366
Run   96: Team DPAV: 52151.014 | Archer: 45203.902 | RinTohsaka: 6788.274 | Sparkle: 0.000 | HuoHuo: 19.448
Run   97: Team DPAV: 54409.642 | Archer: 47236.615 | RinTohsaka: 7013.271 | Sparkle: 0.000 | HuoHuo: 20.366
Run   98: Team DPAV: 52123.051 | Archer: 45132.102 | RinTohsaka: 6831.675 | Sparkle: 0.000 | HuoHuo: 19.883
Run   99: Team DPAV: 52596.553 | Archer: 45715.370 | RinTohsaka: 6721.427 | Sparkle: 0.000 | HuoHuo: 20.366
Run  100: Team DPAV: 53704.725 | Archer: 46227.121 | RinTohsaka: 7317.848 | Sparkle: 0.000 | HuoHuo: 20.366

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 53089.042
Average Archer DPAV: 46035.269 Percentage: 86.713%
Average RinTohsaka DPAV: 6894.278 Percentage: 12.986%
Average Sparkle DPAV: 0.000 Percentage: 0.000%
Average HuoHuo DPAV: 20.106 Percentage: 0.038%

Min Team DPAV: 50175.003
Max Team DPAV: 56337.811
