Simulation Results - 100 runs
================================================================================

Run   72: Team DPAV: 21141.199 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7604.586 | HuoHuo: 55.121
Run   73: Team DPAV: 21326.370 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7789.757 | HuoHuo: 55.121
Run   74: Team DPAV: 20953.675 | Feixiao: 8855.658 | MortenaxBlade: 4517.223 | Ashveil: 7399.234 | HuoHuo: 55.121
Run   75: Team DPAV: 20870.610 | Feixiao: 8717.722 | MortenaxBlade: 4517.223 | Ashveil: 7454.105 | HuoHuo: 55.121
Run   76: Team DPAV: 21239.776 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7703.163 | HuoHuo: 55.121
Run   77: Team DPAV: 20870.610 | Feixiao: 8717.722 | MortenaxBlade: 4517.223 | Ashveil: 7454.105 | HuoHuo: 55.121
Run   78: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   79: Team DPAV: 21196.046 | Feixiao: 8852.914 | MortenaxBlade: 4517.223 | Ashveil: 7644.499 | HuoHuo: 54.971
Run   80: Team DPAV: 20418.608 | Feixiao: 8717.722 | MortenaxBlade: 4090.852 | Ashveil: 7428.624 | HuoHuo: 54.971
Run   81: Team DPAV: 20870.610 | Feixiao: 8717.722 | MortenaxBlade: 4517.223 | Ashveil: 7454.105 | HuoHuo: 55.121
Run   82: Team DPAV: 21056.123 | Feixiao: 8717.722 | MortenaxBlade: 4517.223 | Ashveil: 7639.618 | HuoHuo: 55.121
Run   83: Team DPAV: 21033.197 | Feixiao: 8855.658 | MortenaxBlade: 4517.223 | Ashveil: 7478.756 | HuoHuo: 55.121
Run   84: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   85: Team DPAV: 21141.199 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7604.586 | HuoHuo: 55.121
Run   86: Team DPAV: 21195.171 | Feixiao: 8679.045 | MortenaxBlade: 4511.468 | Ashveil: 7823.248 | HuoHuo: 54.971
Run   87: Team DPAV: 21033.197 | Feixiao: 8855.658 | MortenaxBlade: 4517.223 | Ashveil: 7478.756 | HuoHuo: 55.121
Run   88: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   89: Team DPAV: 21196.046 | Feixiao: 8852.914 | MortenaxBlade: 4517.223 | Ashveil: 7644.499 | HuoHuo: 54.971
Run   90: Team DPAV: 21033.197 | Feixiao: 8855.658 | MortenaxBlade: 4517.223 | Ashveil: 7478.756 | HuoHuo: 55.121
Run   91: Team DPAV: 20535.410 | Feixiao: 8912.035 | MortenaxBlade: 4252.648 | Ashveil: 7189.168 | HuoHuo: 55.121
Run   92: Team DPAV: 20418.608 | Feixiao: 8717.722 | MortenaxBlade: 4090.852 | Ashveil: 7428.624 | HuoHuo: 54.971
Run   93: Team DPAV: 20505.770 | Feixiao: 8717.722 | MortenaxBlade: 4090.852 | Ashveil: 7515.787 | HuoHuo: 54.971
Run   94: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   95: Team DPAV: 21033.197 | Feixiao: 8855.658 | MortenaxBlade: 4517.223 | Ashveil: 7478.756 | HuoHuo: 55.121
Run   96: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   97: Team DPAV: 20418.608 | Feixiao: 8717.722 | MortenaxBlade: 4090.852 | Ashveil: 7428.624 | HuoHuo: 54.971
Run   98: Team DPAV: 21141.199 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7604.586 | HuoHuo: 55.121
Run   99: Team DPAV: 20838.310 | Feixiao: 8852.914 | MortenaxBlade: 4517.223 | Ashveil: 7286.763 | HuoHuo: 54.971
Run  100: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 20959.900
Average Feixiao DPAV: 8838.319
Average MortenaxBlade DPAV: 4421.918
Average Ashveil DPAV: 7518.129
Average HuoHuo DPAV: 55.095

Min Team DPAV: 17971.841
Max Team DPAV: 21355.075
