Simulation Results - 100 runs
================================================================================

Run   62: Team DPAV: 33839.740 | Gilgamesh: 20840.891 | Ashveil: 7491.472 | Cipher: 4972.162 | HuoHuo: 0.000
Run   63: Team DPAV: 32733.622 | Gilgamesh: 19312.865 | Ashveil: 6997.411 | Cipher: 5858.724 | HuoHuo: 0.000
Run   64: Team DPAV: 33093.543 | Gilgamesh: 19546.915 | Ashveil: 7268.209 | Cipher: 5684.395 | HuoHuo: 0.000
Run   65: Team DPAV: 33244.632 | Gilgamesh: 19989.363 | Ashveil: 6985.108 | Cipher: 5701.735 | HuoHuo: 0.000
Run   66: Team DPAV: 34355.512 | Gilgamesh: 20130.214 | Ashveil: 7522.571 | Cipher: 6129.109 | HuoHuo: 0.000
Run   67: Team DPAV: 32324.690 | Gilgamesh: 20513.776 | Ashveil: 6528.051 | Cipher: 4729.652 | HuoHuo: 0.000
Run   68: Team DPAV: 31935.601 | Gilgamesh: 20722.614 | Ashveil: 5880.739 | Cipher: 4780.430 | HuoHuo: 0.000
Run   69: Team DPAV: 34155.893 | Gilgamesh: 20519.809 | Ashveil: 7109.854 | Cipher: 5969.215 | HuoHuo: 0.000
Run   70: Team DPAV: 34369.579 | Gilgamesh: 20207.304 | Ashveil: 7439.442 | Cipher: 6169.621 | HuoHuo: 0.000
Run   71: Team DPAV: 33907.880 | Gilgamesh: 20156.141 | Ashveil: 7144.500 | Cipher: 6054.027 | HuoHuo: 0.000
Run   72: Team DPAV: 33997.749 | Gilgamesh: 20753.553 | Ashveil: 7679.799 | Cipher: 5014.988 | HuoHuo: 0.000
Run   73: Team DPAV: 33055.229 | Gilgamesh: 20879.866 | Ashveil: 6860.888 | Cipher: 4795.862 | HuoHuo: 0.000
Run   74: Team DPAV: 33277.172 | Gilgamesh: 20036.134 | Ashveil: 7652.224 | Cipher: 5035.603 | HuoHuo: 0.000
Run   75: Team DPAV: 32825.699 | Gilgamesh: 20530.998 | Ashveil: 7009.707 | Cipher: 4731.783 | HuoHuo: 0.000
Run   76: Team DPAV: 32974.058 | Gilgamesh: 20451.703 | Ashveil: 7166.309 | Cipher: 4795.227 | HuoHuo: 0.000
Run   77: Team DPAV: 32518.619 | Gilgamesh: 19637.586 | Ashveil: 7436.602 | Cipher: 4891.219 | HuoHuo: 0.000
Run   78: Team DPAV: 32528.753 | Gilgamesh: 20485.821 | Ashveil: 6800.625 | Cipher: 4673.881 | HuoHuo: 0.000
Run   79: Team DPAV: 33485.271 | Gilgamesh: 20695.093 | Ashveil: 7424.301 | Cipher: 4830.662 | HuoHuo: 0.000
Run   80: Team DPAV: 33451.163 | Gilgamesh: 20202.763 | Ashveil: 6881.971 | Cipher: 5772.404 | HuoHuo: 0.000
Run   81: Team DPAV: 33244.632 | Gilgamesh: 19989.363 | Ashveil: 6985.108 | Cipher: 5701.735 | HuoHuo: 0.000
Run   82: Team DPAV: 33244.632 | Gilgamesh: 19989.363 | Ashveil: 6985.108 | Cipher: 5701.735 | HuoHuo: 0.000
Run   83: Team DPAV: 33967.725 | Gilgamesh: 20207.304 | Ashveil: 7144.500 | Cipher: 6062.708 | HuoHuo: 0.000
Run   84: Team DPAV: 34528.922 | Gilgamesh: 20263.615 | Ashveil: 7659.896 | Cipher: 6043.204 | HuoHuo: 0.000
Run   85: Team DPAV: 31080.131 | Gilgamesh: 19695.027 | Ashveil: 6070.970 | Cipher: 4764.726 | HuoHuo: 0.000
Run   86: Team DPAV: 33244.632 | Gilgamesh: 19989.363 | Ashveil: 6985.108 | Cipher: 5701.735 | HuoHuo: 0.000
Run   87: Team DPAV: 33997.749 | Gilgamesh: 20753.553 | Ashveil: 7679.799 | Cipher: 5014.988 | HuoHuo: 0.000
Run   88: Team DPAV: 34552.021 | Gilgamesh: 20128.546 | Ashveil: 7661.207 | Cipher: 6192.454 | HuoHuo: 0.000
Run   89: Team DPAV: 34614.337 | Gilgamesh: 20244.560 | Ashveil: 7680.583 | Cipher: 6115.577 | HuoHuo: 0.000
