Simulation Results - 100 runs
================================================================================

Run  100: Team DPAV: 30585.984 | Saber: 16547.686 | Gilgamesh: 12689.465 | Tribbie: 1014.873 | HuoHuo: 25.026

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 30483.347
Average Saber DPAV: 16751.823 Percentage: 54.954%
Average Gilgamesh DPAV: 12395.965 Percentage: 40.665%
Average Tribbie DPAV: 1007.736 Percentage: 3.306%
Average HuoHuo DPAV: 28.799 Percentage: 0.094%

Min Team DPAV: 21056.847
Max Team DPAV: 35218.440
