Simulation Results - 100 runs
================================================================================

Run   82: Team DPAV: 18463.384 | Gilgamesh: 12952.557 | Ashveil: 4779.165 | Robin: 399.277 | HuoHuo: 0.000
Run   83: Team DPAV: 18428.825 | Gilgamesh: 12917.999 | Ashveil: 4779.165 | Robin: 399.277 | HuoHuo: 0.000
Run   84: Team DPAV: 23454.135 | Gilgamesh: 17278.369 | Ashveil: 5375.102 | Robin: 449.897 | HuoHuo: 0.000
Run   85: Team DPAV: 18448.585 | Gilgamesh: 12952.557 | Ashveil: 4764.367 | Robin: 399.277 | HuoHuo: 0.000
Run   86: Team DPAV: 18463.384 | Gilgamesh: 12952.557 | Ashveil: 4779.165 | Robin: 399.277 | HuoHuo: 0.000
Run   87: Team DPAV: 24032.263 | Gilgamesh: 17649.806 | Ashveil: 5579.262 | Robin: 452.428 | HuoHuo: 0.000
Run   88: Team DPAV: 18448.585 | Gilgamesh: 12952.557 | Ashveil: 4764.367 | Robin: 399.277 | HuoHuo: 0.000
Run   89: Team DPAV: 25019.052 | Gilgamesh: 18611.848 | Ashveil: 5554.307 | Robin: 497.950 | HuoHuo: 0.000
Run   90: Team DPAV: 19478.222 | Gilgamesh: 13286.841 | Ashveil: 5429.449 | Robin: 403.018 | HuoHuo: 0.000
Run   91: Team DPAV: 18414.026 | Gilgamesh: 12917.999 | Ashveil: 4764.367 | Robin: 399.277 | HuoHuo: 0.000
Run   92: Team DPAV: 20127.840 | Gilgamesh: 14754.343 | Ashveil: 4569.974 | Robin: 448.576 | HuoHuo: 0.000
Run   93: Team DPAV: 18463.384 | Gilgamesh: 12952.557 | Ashveil: 4779.165 | Robin: 399.277 | HuoHuo: 0.000
Run   94: Team DPAV: 18389.246 | Gilgamesh: 13016.256 | Ashveil: 4630.652 | Robin: 401.808 | HuoHuo: 0.000
Run   95: Team DPAV: 18463.384 | Gilgamesh: 12952.557 | Ashveil: 4779.165 | Robin: 399.277 | HuoHuo: 0.000
Run   96: Team DPAV: 18448.585 | Gilgamesh: 12952.557 | Ashveil: 4764.367 | Robin: 399.277 | HuoHuo: 0.000
Run   97: Team DPAV: 24032.263 | Gilgamesh: 17649.806 | Ashveil: 5579.262 | Robin: 452.428 | HuoHuo: 0.000
Run   98: Team DPAV: 20127.840 | Gilgamesh: 14754.343 | Ashveil: 4569.974 | Robin: 448.576 | HuoHuo: 0.000
Run   99: Team DPAV: 24032.263 | Gilgamesh: 17649.806 | Ashveil: 5579.262 | Robin: 452.428 | HuoHuo: 0.000
Run  100: Team DPAV: 20127.840 | Gilgamesh: 14754.343 | Ashveil: 4569.974 | Robin: 448.576 | HuoHuo: 0.000

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 20243.925
Average Gilgamesh DPAV: 14482.944 Percentage: 71.542%
Average Ashveil DPAV: 4993.857 Percentage: 24.668%
Average Robin DPAV: 422.361 Percentage: 2.086%
Average HuoHuo DPAV: 0.000 Percentage: 0.000%

Min Team DPAV: 18332.435
Max Team DPAV: 25019.052
