Simulation Results - 100 runs
================================================================================

Run   64: Team DPAV: 34550.773 | Saber: 18394.377 | Gilgamesh: 15284.095 | RuanMei: 506.309 | HuoHuo: 37.068
Run   65: Team DPAV: 33320.542 | Saber: 17054.204 | Gilgamesh: 15392.286 | RuanMei: 506.309 | HuoHuo: 38.819
Run   66: Team DPAV: 34874.986 | Saber: 18643.800 | Gilgamesh: 15358.884 | RuanMei: 506.309 | HuoHuo: 37.068
Run   67: Team DPAV: 34874.986 | Saber: 18643.800 | Gilgamesh: 15358.884 | RuanMei: 506.309 | HuoHuo: 37.068
Run   68: Team DPAV: 34874.986 | Saber: 18643.800 | Gilgamesh: 15358.884 | RuanMei: 506.309 | HuoHuo: 37.068
Run   69: Team DPAV: 31315.823 | Saber: 17455.533 | Gilgamesh: 13049.125 | RuanMei: 510.533 | HuoHuo: 35.123
Run   70: Team DPAV: 34587.074 | Saber: 18572.683 | Gilgamesh: 15155.672 | RuanMei: 506.309 | HuoHuo: 37.068
Run   71: Team DPAV: 34836.215 | Saber: 18643.800 | Gilgamesh: 15320.114 | RuanMei: 506.309 | HuoHuo: 37.068
Run   72: Team DPAV: 34047.176 | Saber: 17572.718 | Gilgamesh: 15420.569 | RuanMei: 642.243 | HuoHuo: 75.923
Run   73: Team DPAV: 34403.785 | Saber: 18391.058 | Gilgamesh: 15164.083 | RuanMei: 493.652 | HuoHuo: 35.123
Run   74: Team DPAV: 32407.586 | Saber: 17254.153 | Gilgamesh: 14239.229 | RuanMei: 559.210 | HuoHuo: 35.123
Run   75: Team DPAV: 33281.771 | Saber: 17054.204 | Gilgamesh: 15353.515 | RuanMei: 506.309 | HuoHuo: 38.819
Run   76: Team DPAV: 31996.823 | Saber: 17132.023 | Gilgamesh: 13904.838 | RuanMei: 599.338 | HuoHuo: 33.956
Run   77: Team DPAV: 34840.165 | Saber: 18643.800 | Gilgamesh: 15324.063 | RuanMei: 506.309 | HuoHuo: 37.068
Run   78: Team DPAV: 32975.423 | Saber: 18920.440 | Gilgamesh: 13238.270 | RuanMei: 509.609 | HuoHuo: 37.068
Run   79: Team DPAV: 32975.423 | Saber: 18920.440 | Gilgamesh: 13238.270 | RuanMei: 509.609 | HuoHuo: 37.068
Run   80: Team DPAV: 34550.773 | Saber: 18394.377 | Gilgamesh: 15284.095 | RuanMei: 506.309 | HuoHuo: 37.068
Run   81: Team DPAV: 30627.685 | Saber: 17255.394 | Gilgamesh: 12554.847 | RuanMei: 510.533 | HuoHuo: 36.874
Run   82: Team DPAV: 32334.518 | Saber: 18394.377 | Gilgamesh: 13067.840 | RuanMei: 506.309 | HuoHuo: 37.068
Run   83: Team DPAV: 34589.544 | Saber: 18394.377 | Gilgamesh: 15322.865 | RuanMei: 506.309 | HuoHuo: 37.068
Run   84: Team DPAV: 31456.610 | Saber: 17847.380 | Gilgamesh: 12786.239 | RuanMei: 509.609 | HuoHuo: 38.819
Run   85: Team DPAV: 34589.544 | Saber: 18394.377 | Gilgamesh: 15322.865 | RuanMei: 506.309 | HuoHuo: 37.068
Run   86: Team DPAV: 34619.726 | Saber: 18532.208 | Gilgamesh: 15238.873 | RuanMei: 493.652 | HuoHuo: 35.123
Run   87: Team DPAV: 33142.916 | Saber: 18920.440 | Gilgamesh: 13411.311 | RuanMei: 510.533 | HuoHuo: 35.123
Run   88: Team DPAV: 34085.254 | Saber: 17742.464 | Gilgamesh: 15389.534 | RuanMei: 585.512 | HuoHuo: 38.819
Run   89: Team DPAV: 34840.165 | Saber: 18643.800 | Gilgamesh: 15324.063 | RuanMei: 506.309 | HuoHuo: 37.068
Run   90: Team DPAV: 34687.831 | Saber: 18489.533 | Gilgamesh: 15284.095 | RuanMei: 559.210 | HuoHuo: 35.123
Run   91: Team DPAV: 34687.831 | Saber: 18489.533 | Gilgamesh: 15284.095 | RuanMei: 559.210 | HuoHuo: 35.123
Run   92: Team DPAV: 32373.289 | Saber: 18394.377 | Gilgamesh: 13106.611 | RuanMei: 506.309 | HuoHuo: 37.068
Run   93: Team DPAV: 25927.787 | Saber: 12727.090 | Gilgamesh: 12279.039 | RuanMei: 558.096 | HuoHuo: 34.637
Run   94: Team DPAV: 30720.776 | Saber: 17255.394 | Gilgamesh: 12647.938 | RuanMei: 510.533 | HuoHuo: 36.874
Run   95: Team DPAV: 31277.052 | Saber: 17455.533 | Gilgamesh: 13010.354 | RuanMei: 510.533 | HuoHuo: 35.123
