Simulation Results - 100 runs
================================================================================

Run   62: Team DPAV: 37271.071 | Saber: 17851.419 | Gilgamesh: 14965.387 | MortenaxBlade: 3878.051 | Lingsha: 327.870
Run   63: Team DPAV: 41612.137 | Saber: 20928.286 | Gilgamesh: 16032.403 | MortenaxBlade: 4026.282 | Lingsha: 376.821
Run   64: Team DPAV: 38919.867 | Saber: 18959.936 | Gilgamesh: 15755.351 | MortenaxBlade: 3649.991 | Lingsha: 306.244
Run   65: Team DPAV: 39677.154 | Saber: 19424.229 | Gilgamesh: 15906.655 | MortenaxBlade: 3777.993 | Lingsha: 319.932
Run   66: Team DPAV: 36850.410 | Saber: 17784.575 | Gilgamesh: 14826.134 | MortenaxBlade: 3696.180 | Lingsha: 295.176
Run   67: Team DPAV: 40015.291 | Saber: 19424.229 | Gilgamesh: 16240.384 | MortenaxBlade: 3797.892 | Lingsha: 304.440
Run   68: Team DPAV: 36440.308 | Saber: 17784.575 | Gilgamesh: 14600.277 | MortenaxBlade: 3511.935 | Lingsha: 295.176
Run   69: Team DPAV: 38700.324 | Saber: 19259.121 | Gilgamesh: 15216.972 | MortenaxBlade: 3656.402 | Lingsha: 317.123
Run   70: Team DPAV: 38745.973 | Saber: 19223.875 | Gilgamesh: 15922.913 | MortenaxBlade: 3030.908 | Lingsha: 319.932
Run   71: Team DPAV: 39948.230 | Saber: 19736.027 | Gilgamesh: 15967.737 | MortenaxBlade: 3674.383 | Lingsha: 319.377
Run   72: Team DPAV: 38979.786 | Saber: 19259.121 | Gilgamesh: 15308.817 | MortenaxBlade: 3786.833 | Lingsha: 374.310
Run   73: Team DPAV: 38700.324 | Saber: 19259.121 | Gilgamesh: 15216.972 | MortenaxBlade: 3656.402 | Lingsha: 317.123
Run   74: Team DPAV: 39496.670 | Saber: 19223.875 | Gilgamesh: 15922.913 | MortenaxBlade: 3797.096 | Lingsha: 304.440
Run   75: Team DPAV: 37384.547 | Saber: 18060.666 | Gilgamesh: 15119.381 | MortenaxBlade: 3625.200 | Lingsha: 328.596
Run   76: Team DPAV: 38604.126 | Saber: 18604.676 | Gilgamesh: 15416.866 | MortenaxBlade: 3989.975 | Lingsha: 344.263
Run   77: Team DPAV: 42302.949 | Saber: 21038.464 | Gilgamesh: 17012.792 | MortenaxBlade: 3661.991 | Lingsha: 338.996
Run   78: Team DPAV: 40966.096 | Saber: 20510.826 | Gilgamesh: 15802.992 | MortenaxBlade: 4006.661 | Lingsha: 394.910
Run   79: Team DPAV: 40966.096 | Saber: 20510.826 | Gilgamesh: 15802.992 | MortenaxBlade: 4006.661 | Lingsha: 394.910
Run   80: Team DPAV: 41431.792 | Saber: 20495.061 | Gilgamesh: 16465.086 | MortenaxBlade: 3893.996 | Lingsha: 326.944
Run   81: Team DPAV: 38850.764 | Saber: 18930.653 | Gilgamesh: 15749.229 | MortenaxBlade: 3617.438 | Lingsha: 305.099
