Simulation Results - 100 runs
================================================================================

Run   95: Team DPAV: 45476.280 | SilverWolf999: 33188.355 | ElationMC: 5568.660 | YaoGuang: 6448.450 | HuoHuo: 9.383
Run   96: Team DPAV: 47893.350 | SilverWolf999: 35006.978 | ElationMC: 5639.699 | YaoGuang: 6961.333 | HuoHuo: 9.383
Run   97: Team DPAV: 46258.576 | SilverWolf999: 33798.763 | ElationMC: 5554.101 | YaoGuang: 6605.849 | HuoHuo: 9.383
Run   98: Team DPAV: 45309.209 | SilverWolf999: 32843.157 | ElationMC: 5586.869 | YaoGuang: 6608.367 | HuoHuo: 9.383
Run   99: Team DPAV: 43801.643 | SilverWolf999: 31643.087 | ElationMC: 5435.857 | YaoGuang: 6451.883 | HuoHuo: 9.383
Run  100: Team DPAV: 44334.213 | SilverWolf999: 32399.061 | ElationMC: 5358.419 | YaoGuang: 6305.918 | HuoHuo: 9.383

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 44874.810
Average SilverWolf999 DPAV: 32553.301
Average ElationMC DPAV: 5483.743
Average YaoGuang DPAV: 6551.120
Average HuoHuo DPAV: 9.383

Min Team DPAV: 41317.373
Max Team DPAV: 48093.692
