Simulation Results - 100 runs
================================================================================

Run   58: Team DPAV: 18916.040 | Acheron: 13627.584 | MortenaxBlade: 4068.382 | RuanMei: 925.077 | HuoHuo: 43.298
Run   59: Team DPAV: 20394.020 | Acheron: 14666.285 | MortenaxBlade: 4484.917 | RuanMei: 957.144 | HuoHuo: 40.268
Run   60: Team DPAV: 18484.051 | Acheron: 13057.838 | MortenaxBlade: 4117.631 | RuanMei: 1027.306 | HuoHuo: 41.430
Run   61: Team DPAV: 18144.903 | Acheron: 13534.154 | MortenaxBlade: 3413.705 | RuanMei: 892.749 | HuoHuo: 47.581
Run   62: Team DPAV: 19245.536 | Acheron: 13639.359 | MortenaxBlade: 4379.907 | RuanMei: 925.077 | HuoHuo: 42.136
Run   63: Team DPAV: 18536.312 | Acheron: 13065.526 | MortenaxBlade: 4258.892 | RuanMei: 910.746 | HuoHuo: 47.581
Run   64: Team DPAV: 19215.762 | Acheron: 14028.910 | MortenaxBlade: 3909.590 | RuanMei: 930.411 | HuoHuo: 41.071
Run   65: Team DPAV: 20394.020 | Acheron: 14666.285 | MortenaxBlade: 4484.917 | RuanMei: 957.144 | HuoHuo: 40.268
Run   66: Team DPAV: 19968.555 | Acheron: 14625.322 | MortenaxBlade: 4068.507 | RuanMei: 982.876 | HuoHuo: 43.298
Run   67: Team DPAV: 19245.536 | Acheron: 13639.359 | MortenaxBlade: 4379.907 | RuanMei: 925.077 | HuoHuo: 42.136
Run   68: Team DPAV: 18270.942 | Acheron: 13121.699 | MortenaxBlade: 3972.275 | RuanMei: 889.683 | HuoHuo: 41.430
Run   69: Team DPAV: 18859.496 | Acheron: 13627.073 | MortenaxBlade: 4028.532 | RuanMei: 925.077 | HuoHuo: 40.268
Run   70: Team DPAV: 22034.275 | Acheron: 16337.782 | MortenaxBlade: 4104.186 | RuanMei: 1215.338 | HuoHuo: 45.804
Run   71: Team DPAV: 19044.836 | Acheron: 13818.916 | MortenaxBlade: 4012.442 | RuanMei: 921.485 | HuoHuo: 43.298
Run   72: Team DPAV: 21423.575 | Acheron: 15700.338 | MortenaxBlade: 4312.687 | RuanMei: 1062.633 | HuoHuo: 42.136
Run   73: Team DPAV: 20445.064 | Acheron: 14666.285 | MortenaxBlade: 4433.836 | RuanMei: 1060.594 | HuoHuo: 45.804
Run   74: Team DPAV: 20774.240 | Acheron: 14719.413 | MortenaxBlade: 4697.417 | RuanMei: 1059.197 | HuoHuo: 45.804
Run   75: Team DPAV: 17635.805 | Acheron: 13031.326 | MortenaxBlade: 3305.446 | RuanMei: 1003.373 | HuoHuo: 43.298
Run   76: Team DPAV: 20670.347 | Acheron: 14826.247 | MortenaxBlade: 4586.098 | RuanMei: 952.953 | HuoHuo: 42.136
Run   77: Team DPAV: 20279.710 | Acheron: 14666.285 | MortenaxBlade: 4372.079 | RuanMei: 962.532 | HuoHuo: 40.268
Run   78: Team DPAV: 19334.818 | Acheron: 13787.872 | MortenaxBlade: 4327.046 | RuanMei: 911.748 | HuoHuo: 47.581
Run   79: Team DPAV: 19052.529 | Acheron: 13818.916 | MortenaxBlade: 4016.543 | RuanMei: 925.077 | HuoHuo: 43.298
Run   80: Team DPAV: 19245.536 | Acheron: 13639.359 | MortenaxBlade: 4379.907 | RuanMei: 925.077 | HuoHuo: 42.136
Run   81: Team DPAV: 18916.040 | Acheron: 13627.584 | MortenaxBlade: 4068.382 | RuanMei: 925.077 | HuoHuo: 43.298
Run   82: Team DPAV: 18853.360 | Acheron: 13121.699 | MortenaxBlade: 4443.984 | RuanMei: 993.531 | HuoHuo: 41.430
Run   83: Team DPAV: 20493.258 | Acheron: 14719.413 | MortenaxBlade: 4525.497 | RuanMei: 962.532 | HuoHuo: 40.268
Run   84: Team DPAV: 18144.903 | Acheron: 13534.154 | MortenaxBlade: 3413.705 | RuanMei: 892.749 | HuoHuo: 47.581
Run   85: Team DPAV: 20606.571 | Acheron: 14826.247 | MortenaxBlade: 4529.679 | RuanMei: 952.953 | HuoHuo: 42.136
Run   86: Team DPAV: 21238.718 | Acheron: 15741.311 | MortenaxBlade: 4086.857 | RuanMei: 1062.633 | HuoHuo: 42.136
Run   87: Team DPAV: 21530.208 | Acheron: 15899.551 | MortenaxBlade: 4222.724 | RuanMei: 1070.687 | HuoHuo: 42.136
Run   88: Team DPAV: 20279.710 | Acheron: 14666.285 | MortenaxBlade: 4372.079 | RuanMei: 962.532 | HuoHuo: 40.268
Run   89: Team DPAV: 18550.038 | Acheron: 13752.776 | MortenaxBlade: 3475.597 | RuanMei: 1052.053 | HuoHuo: 49.449
