Simulation Results - 100 runs
================================================================================

Run   70: Team DPAV: 471790.672 | Sparxie: 329871.511 | YaoGuang: 139230.107 | Luocha: 1885.907 | Sparkle: 0.000
Run   71: Team DPAV: 474373.111 | Sparxie: 329135.569 | YaoGuang: 142942.321 | Luocha: 1503.886 | Sparkle: 0.000
Run   72: Team DPAV: 475973.548 | Sparxie: 329399.680 | YaoGuang: 143927.301 | Luocha: 1863.105 | Sparkle: 0.000
Run   73: Team DPAV: 498442.076 | Sparxie: 349754.952 | YaoGuang: 146407.651 | Luocha: 1503.886 | Sparkle: 0.000
Run   74: Team DPAV: 442005.535 | Sparxie: 305320.236 | YaoGuang: 134402.563 | Luocha: 1626.577 | Sparkle: 0.000
Run   75: Team DPAV: 458081.900 | Sparxie: 313542.759 | YaoGuang: 141980.138 | Luocha: 1889.714 | Sparkle: 0.000
Run   76: Team DPAV: 455374.601 | Sparxie: 315741.704 | YaoGuang: 137313.203 | Luocha: 1650.404 | Sparkle: 0.000
Run   77: Team DPAV: 494001.408 | Sparxie: 344786.548 | YaoGuang: 146543.099 | Luocha: 1875.773 | Sparkle: 0.000
Run   78: Team DPAV: 501846.248 | Sparxie: 350676.411 | YaoGuang: 148882.490 | Luocha: 1503.886 | Sparkle: 0.000
Run   79: Team DPAV: 463488.173 | Sparxie: 320541.430 | YaoGuang: 140382.231 | Luocha: 1902.382 | Sparkle: 0.000
Run   80: Team DPAV: 475437.595 | Sparxie: 334404.760 | YaoGuang: 138810.605 | Luocha: 1533.793 | Sparkle: 0.000
Run   81: Team DPAV: 469199.648 | Sparxie: 324557.841 | YaoGuang: 142537.246 | Luocha: 1469.989 | Sparkle: 0.000
Run   82: Team DPAV: 486768.513 | Sparxie: 339668.249 | YaoGuang: 144402.092 | Luocha: 1895.026 | Sparkle: 0.000
Run   83: Team DPAV: 468879.597 | Sparxie: 323063.725 | YaoGuang: 143670.256 | Luocha: 1503.886 | Sparkle: 0.000
Run   84: Team DPAV: 462033.067 | Sparxie: 320869.328 | YaoGuang: 138970.392 | Luocha: 1490.593 | Sparkle: 0.000
Run   85: Team DPAV: 482396.608 | Sparxie: 333992.460 | YaoGuang: 145918.554 | Luocha: 1843.863 | Sparkle: 0.000
Run   86: Team DPAV: 463026.467 | Sparxie: 319583.548 | YaoGuang: 141182.811 | Luocha: 1558.608 | Sparkle: 0.000
Run   87: Team DPAV: 466193.284 | Sparxie: 322510.560 | YaoGuang: 140919.688 | Luocha: 1973.020 | Sparkle: 0.000
Run   88: Team DPAV: 440017.762 | Sparxie: 301046.316 | YaoGuang: 136293.291 | Luocha: 1875.009 | Sparkle: 0.000
Run   89: Team DPAV: 429921.337 | Sparxie: 292667.657 | YaoGuang: 134733.306 | Luocha: 1871.374 | Sparkle: 0.000
Run   90: Team DPAV: 474918.142 | Sparxie: 330385.312 | YaoGuang: 141989.483 | Luocha: 1901.617 | Sparkle: 0.000
Run   91: Team DPAV: 480356.377 | Sparxie: 334210.471 | YaoGuang: 143458.632 | Luocha: 1884.127 | Sparkle: 0.000
Run   92: Team DPAV: 476665.349 | Sparxie: 329353.154 | YaoGuang: 144665.628 | Luocha: 1863.105 | Sparkle: 0.000
Run   93: Team DPAV: 455792.462 | Sparxie: 312655.400 | YaoGuang: 140845.685 | Luocha: 1515.789 | Sparkle: 0.000
Run   94: Team DPAV: 473452.652 | Sparxie: 329353.223 | YaoGuang: 142002.026 | Luocha: 1469.989 | Sparkle: 0.000
Run   95: Team DPAV: 466945.041 | Sparxie: 322288.973 | YaoGuang: 142017.375 | Luocha: 1863.105 | Sparkle: 0.000
Run   96: Team DPAV: 484465.246 | Sparxie: 338582.000 | YaoGuang: 143397.652 | Luocha: 1843.863 | Sparkle: 0.000
Run   97: Team DPAV: 504594.239 | Sparxie: 356066.345 | YaoGuang: 146053.361 | Luocha: 1838.709 | Sparkle: 0.000
Run   98: Team DPAV: 468973.694 | Sparxie: 323968.303 | YaoGuang: 142339.140 | Luocha: 1863.105 | Sparkle: 0.000
Run   99: Team DPAV: 502595.160 | Sparxie: 354321.928 | YaoGuang: 145636.188 | Luocha: 1875.773 | Sparkle: 0.000
Run  100: Team DPAV: 484179.255 | Sparxie: 341909.589 | YaoGuang: 139945.219 | Luocha: 1528.457 | Sparkle: 0.000

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 475707.387
Average Sparxie DPAV: 330982.075
Average YaoGuang DPAV: 142234.117
Average Luocha DPAV: 1756.820
Average Sparkle DPAV: 0.000

Min Team DPAV: 429921.337
Max Team DPAV: 520817.944
